α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.006250 +/- 7.82e-7],-ccc985f23c1895db22d0e5603 -6b 1a36e2ed -32,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.55963 +/- 4.36e-6],63d0ee2d -1e 18640001 -30,1.55962855182589,[+/- 3.27e-8],9bd83b6bd6dc7991e9063b1e9 -7d 3e3493b7 -38,3.26260242838835e-8,[0.999 +/- 6.23e-4],7fcf0a3 -1b 4319 -1b,[0.999548833331573405303061008453 +/- 3.70e-31],7ff13756f5 -27 0 0,0.999548833331574,0.019934204,0.141600348,0.084242166,7.762893037,2,0,0.025909134,100
[-0.006249 +/- 5.63e-7],-3330be0e6045a2645a1cac083 -69 1a36e2ed -32,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.55963 +/- 2.98e-6],31e879f9 -1d 18600001 -30,1.55962992645801,[+/- 3.27e-8],4de97098bff7a8648bacf4b47 -7c 3e332e27 -38,3.26223199530167e-8,[0.999 +/- 6.22e-4],ff9e177 -1c 10c6d -1d,[0.999548858744674362242221832275 +/- 3.91e-31],ffe26f1b1 -24 0 0,0.999548858744675,0.01965267,0.136826217,0.024185412,7.763766165,2,0,0.025407872,100
[-0.006248 +/- 4.38e-7],-332f1aa031851f51eb851eb85 -69 1a36e2ed -32,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.55963 +/- 1.61e-6],63d0f9bb -1e 18640001 -30,1.55963130667807,[+/- 3.27e-8],9bcd7f36acc14324d62c2baab -7d 3e31c4ab -38,3.26185879187176e-8,[0.999 +/- 6.22e-4],7fcf0d3f -1f 431d5 -1f,[0.999548884350588195957243442535 +/- 4.01e-31],7ff137c485 -27 0 0,0.999548884350589,0.019639254,0.137223561,0.024339945,7.871173085,2,0,0.025060904,100
[-0.006247 +/- 6.57e-7],-332d773202c49c3f7ced91687 -69 1a36e2ed -32,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.55963 +/- 2.69e-6],63d0ff83 -1e 18640001 -30,1.55963268503548,[+/- 3.27e-8],4de416a060c35ee62245ffec3 -7c 1f183191 -37,3.26149125814688e-8,[0.999 +/- 6.22e-4],7fcf0ec7 -1f 431f9 -1f,[0.999548909566328802611678838730 +/- 1.42e-31],ffe26ff557 -28 0 0,0.999548909566329,0.019988036,0.139645738,0.024591192,7.747165778,2,0,0.025765321,100
[-0.006246 +/- 8.76e-7],-332bd3c3d404192d0e5604189 -69 1a36e2ed -32,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.55963 +/- 4.07e-6],63d1054b -1e 18640001 -30,1.55963406339289,[+/- 3.27e-8],26f0b2df0803ffe6bd8dc55e1 -7b f8bbe69 -36,3.26111808954619e-8,[0.999 +/- 6.22e-4],7fcf1049 -1f 43217 -1f,[0.999548935172697383677586913109 +/- 1.75e-31],1ffc4e0c6a3 -29 0 0,0.999548935172698,0.019862007,0.139101455,0.024408866,7.820564674,2,0,0.025554691,100
[-0.006246 +/- 6.88e-7],-332a3055a543961a9fbe76c8b -69 346dc5db -33,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.55963 +/- 5.45e-6],18f442c5 -1c 18600001 -30,1.5596354417503,[+/- 3.27e-8],9bbd71d13c0371b6057e49963 -7d f8b6509 -36,3.26074777820154e-8,[0.999 +/- 6.22e-4],1ff3c475 -1d 8647 -1c,[0.999548960583979351213201880455 +/- 1.71e-32],1ffc4e1a0eb -29 0 0,0.99954896058398,0.019607093,0.136153039,0.024051168,7.666397064,2,0,0.024981703,100
[-0.006245 +/- 4.69e-7],-cca2339dda0c4c20c49ba5e35 -6b 1a36e2ed -32,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.55964 +/- 6.09e-6],63d110d9 -1e 18640001 -30,1.55963681824506,[+/- 3.27e-8],9bb8202618102c6b7e0e2e121 -7d 3e2c3295 -38,3.26038028803794e-8,[0.999 +/- 6.22e-4],1ff3c4d7 -1d 10c97 -1d,[0.999548985800629452569410204887 +/- 3.91e-31],1ffc4e27987 -29 0 0,0.99954898580063,0.019704107,0.201411715,0.02418423,7.809240913,2,0,0.025768176,100
[-0.006244 +/- 5.32e-7],-cc9ba5e51f0a3fd70a3d70a3d -6b 1a36e2ed -32,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.55964 +/- 4.71e-6],31e88b51 -1d 18600001 -30,1.55963819660247,[+/- 3.27e-8],9bb2c69df5b94de92473ef8e1 -7d 1f156685 -37,3.260009985545e-8,[0.999 +/- 6.21e-4],7fcf14df -1f 4327d -1f,[0.999549011214185156859457492828 +/- 3.70e-31],7ff138d4f5 -27 0 0,0.999549011214186,0.019710079,0.139545317,0.024105931,7.724925807,2,0,0.02536433,100
[-0.006243 +/- 7.51e-7],-cc95182c6408338d4fdf3b645 -6b 1a36e2ed -32,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.55964 +/- 3.34e-6],63d11c6b -1e 18640001 -30,1.55963957682253,[+/- 3.26e-8],4dd6b2ac737e5296d0ce1d8c3 -7c 1f14b1c9 -37,3.25963691379265e-8,[0.999 +/- 6.21e-4],7fcf166b -1f 432a1 -1f,[0.999549036819189495872706174850 +/- 4.64e-31],ffe27217e3 -28 0 0,0.99954903681919,0.019589089,0.136677395,0.024062239,7.935417417,2,0,0.025567615,100
[-0.006243 +/- 8.13e-7],-cc8e8a73a906274395810624d -6b 1a36e2ed -32,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.55964 +/- 1.96e-6],31e89119 -1d 18600001 -30,1.55964095331729,[+/- 3.26e-8],26ea05056489372dbbccf6ea9 -7b 3e28020b -38,3.25926950676325e-8,[0.999 +/- 6.21e-4],7fcf17ed -1f 432bf -1f,[0.999549062034930102527141571045 +/- 7.82e-32],ffe272843 -24 0 0,0.999549062034931,0.019882856,0.141344702,0.02449018,7.747770386,2,0,0.025540414,100
