α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.8500 +/- 2.50e-5],-1b3318fc577a5e4ed916872b -5d 1a36e2ed -2d,[0.924993750026180356238469926211 +/- 2.95e-31],3b3318fc577a5e4ed916872b -5e 0 0,true,true,true,[0.959 +/- 6.24e-4],7ab308bd -1f 1bda4c01 -29,0.958801187575319,[+/- 7.12e-4],17507b27 -28 17507b27 -28,0.000711498387317989,[0.92 +/- 4.41e-3],7552dad1 -1f 82141c3 -25,[0.947762622789014130830764770508 +/- 1.88e-31],3ca8248f5 -22 0 0,0.947762622789015,0.20231854,3.600046431,4.808178842,55.828446481,14,16,0.128356568,100
[-0.8500 +/- 5.00e-5],-d99724748d126f645a1cac083 -64 1a36e2ed -2d,[0.924981250026154162791058865877 +/- 4.36e-31],eccb923a468937b22d0e56041 -64 0 0,true,true,true,[0.959 +/- 6.33e-4],1eacaf27 -1d 1bd82801 -29,0.958792048506894,[+/- 7.10e-4],173d8077 -28 173d8077 -28,0.000709235884642113,[0.92 +/- 4.41e-3],eaa5a89 -1c 8211d03 -25,[0.947845992574002593755722045898 +/- 4.38e-31],3ca9823cf -22 0 0,0.947845992574003,0.183322056,3.798424327,4.612677473,55.04386403,15,16,0.127655141,100
[-0.8499 +/- 5.01e-5],-d99581065e51ec51eb851eb85 -64 1a36e2ed -2d,[0.924968750026127969343647805544 +/- 1.65e-31],7665604197947b147ae147ae1 -63 0 0,true,true,true,[0.959 +/- 6.42e-4],3d5938c7 -1e 1bd61001 -29,0.958783038892307,[+/- 7.11e-4],ba4544f -27 ba4544f -27,0.00071056588421925,[0.92 +/- 4.41e-3],7552ccf -1b 821e783 -25,[0.947797359724063426256179809570 +/- 3.13e-31],3ca8b641d -22 0 0,0.947797359724064,0.201254981,4.709803488,4.744429774,56.494535428,19,16,0.128145226,100
[-0.8499 +/- 2.51e-5],-d993dd982f91693f7ced91687 -64 1a36e2ed -2d,[0.924956250026101775896236745211 +/- 1.07e-31],ecc9eecc17c8b49fbe76c8b43 -64 0 0,true,true,true,[0.959 +/- 6.50e-4],1eac8bfd -1d 1bd3f001 -29,0.958775155246713,[+/- 7.18e-4],17831a15 -28 17831a15 -28,0.0007175328591984,[0.92 +/- 4.41e-3],7552bd9b -1f 82121c3 -25,[0.947542280744528397917747497559 +/- 4.07e-31],794910c1b -23 0 0,0.947542280744529,0.179419546,4.41260157,4.592630422,55.338784897,17,16,0.128043185,100
[-0.8499 +/- 2.50e-5],-d9923a2a00d0e62d0e5604189 -64 1a36e2ed -2d,[0.924943750026075582448825684878 +/- 3.78e-31],3b324745401a1cc5a1cac0831 -62 0 0,true,true,true,[0.959 +/- 6.62e-4],f56395b -1c 1bd1b801 -29,0.9587630359460491,[+/- 7.09e-4],173b83b9 -28 173b83b9 -28,0.000708998983100174,[0.92 +/- 4.41e-3],7552cc1b -1f 820b643 -25,[0.947855492559028789401054382324 +/- 2.19e-31],7953542af -23 0 0,0.947855492559029,0.158572242,4.002438008,4.823800544,56.638728323,15,16,0.12793025,100
[-0.8499 +/- 5.00e-5],-d99096bbd210631a9fbe76c8b -64 1a36e2ed -2d,[0.924931250026049389001414624544 +/- 3.52e-31],ecc84b5de908318d4fdf3b645 -64 0 0,true,true,true,[0.959 +/- 6.75e-4],7ab15ad7 -1f 1bcf8401 -29,0.958749618381717,[+/- 7.25e-4],5ee9bd5 -26 5ee9bd5 -26,0.000724129065929447,[0.92 +/- 4.41e-3],7552e3e5 -1f 820d4c3 -25,[0.947302415006561204791069030762 +/- 2.82e-31],7941349df -23 0 0,0.947302415006562,0.232343055,4.378651287,4.592335058,56.166114971,17,16,0.128111002,100
[-0.8498 +/- 5.01e-5],-d98ef34da34fe0083126e978d -64 1a36e2ed -2d,[0.924918750026023195554003564211 +/- 8.07e-32],7663bcd368d3f8020c49ba5e3 -63 0 0,true,true,true,[0.959 +/- 6.77e-4],7ab14bcf -1f 1bcd9401 -29,0.958747768775084,[+/- 7.24e-4],bd9e0bd -27 bd9e0bd -27,0.000723332854249748,[0.92 +/- 4.41e-3],1d54aa83 -1d 821dd83 -25,[0.947331445466261357069015502930 +/- 3.13e-31],3ca114123 -22 0 0,0.947331445466262,0.253372438,4.598510306,4.737087879,56.197841055,17,16,0.127603528,100
[-0.8498 +/- 2.51e-5],-d98d4fdf748f5cf5c28f5c28f -64 1a36e2ed -2d,[0.924906250025997002106592503878 +/- 1.91e-31],ecc6a7efba47ae7ae147ae147 -64 0 0,true,true,true,[0.959 +/- 6.91e-4],3d586bb1 -1e 1bcb5001 -29,0.958733822219529,[+/- 7.10e-4],17409c57 -28 17409c57 -28,0.000709606492819149,[0.92 +/- 4.41e-3],3aa962b -1a 8212103 -25,[0.947833951999200507998466491699 +/- 2.19e-31],79529f78f -23 0 0,0.947833951999201,0.179126209,4.255298643,4.663103699,55.432631955,17,16,0.128049751,100
[-0.8498 +/- 2.50e-5],-d98bac7145ced9e353f7ced91 -64 1a36e2ed -2d,[0.924893750025970808659181443545 +/- 4.62e-31],1d98bac7145ced9e353f7ced9 -61 0 0,true,true,true,[0.959 +/- 6.99e-4],3d5847bf -1e 1bc93801 -29,0.958725189790585,[+/- 7.10e-4],2e828b19 -29 2e828b19 -29,0.000709685286892637,[0.92 +/- 4.41e-3],7552bb77 -1f 821b843 -25,[0.947831290715839713811874389648 +/- 4.38e-31],3ca94492f -22 0 0,0.94783129071584,0.174308137,4.278187648,4.760214349,56.101052937,17,16,0.127617567,100
[-0.8498 +/- 5.00e-5],-d98a0903170e56d0e56041893 -64 1a36e2ed -2d,[0.924881250025944615211770383211 +/- 2.68e-31],ecc504818b872b6872b020c49 -64 0 0,true,true,true,[0.959 +/- 7.12e-4],7ab027b1 -1f 1bc6fc01 -29,0.958712749183633,[+/- 7.17e-4],177a680f -28 177a680f -28,0.000716496286258917,[0.92 +/- 4.41e-3],3aa96623 -1e 8205403 -25,[0.947581891610752791166305541992 +/- 1.88e-31],3ca52e84b -22 0 0,0.947581891610753,0.2475471,4.592788545,4.682531388,55.842275122,18,16,0.127464053,100
[-0.8497 +/- 5.01e-5],-d9886594e84dd3be76c8b4395 -64 1a36e2ed -2d,[0.924868750025918421764359322878 +/- 2.93e-33],766219653a1374ef9db22d0e5 -63 0 0,true,true,true,[0.958 +/- 7.03e-4],7aafd1e1 -1f 1bc4d401 -29,0.958702455275216,[+/- 7.19e-4],2f1e7ac1 -29 2f1e7ac1 -29,0.000718979806151765,[0.92 +/- 4.41e-3],3aa966fb -1e 8208583 -25,[0.947491406288463622331619262695 +/- 3.13e-31],3ca3b2fed -22 0 0,0.947491406288464,0.304361035,5.22481979,4.63912627,56.878817381,20,16,0.127444986,100
[-0.8497 +/- 2.51e-5],-d986c226b98d50ac083126e97 -64 1a36e2ed -2d,[0.924856250025892228316948262545 +/- 2.74e-31],ecc361135cc6a85604189374b -64 0 0,true,true,true,[0.958 +/- 6.96e-4],3d57cc43 -1e 1bc2c001 -29,0.958695556037583,[+/- 7.08e-4],5cc17eb -26 5cc17eb -26,0.00070767089346191,[0.92 +/- 4.41e-3],3aa95bdb -1e 8203303 -25,[0.947906187095213681459426879883 +/- 1.88e-31],3caa7eb65 -22 0 0,0.947906187095214,0.196954579,4.654720734,4.685124633,55.579924732,19,16,0.12753648,100
[-0.8497 +/- 2.50e-5],-d9851eb88acccd99999999999 -64 1a36e2ed -2d,[0.924843750025866034869537202211 +/- 4.56e-31],3b30a3d7115999b3333333333 -62 0 0,true,true,true,[0.958 +/- 6.89e-4],7aaf5cd3 -1f 1bc0a401 -29,0.958688376471855,[+/- 7.17e-4],177761fd -28 177761fd -28,0.000716135831680731,[0.92 +/- 4.41e-3],3aa951ad -1e 81fb303 -25,[0.947595744684804230928421020508 +/- 1.88e-31],3ca5689f5 -22 0 0,0.947595744684805,0.158545352,3.988588975,4.655001151,56.203931515,15,16,0.127574614,100
[-0.8497 +/- 5.00e-5],-d9837b4a5c0c4a872b020c49b -64 1a36e2ed -2d,[0.924831250025839841422126141878 +/- 1.85e-31],ecc1bda52e06254395810624d -64 0 0,true,true,true,[0.958 +/- 6.75e-4],7aaeece7 -1f 1bbe6c01 -29,0.958674968220749,[+/- 7.13e-4],2eb2f06d -29 2eb2f06d -29,0.000712569902134419,[0.92 +/- 4.41e-3],eaa5765 -1c 81fb583 -25,[0.947726743936073035001754760742 +/- 1.88e-31],3ca78e12b -22 0 0,0.947726743936073,0.255015129,4.612734115,4.641361994,54.943128075,18,16,0.127284069,100
[-0.8496 +/- 5.01e-5],-d981d7dc2d4bc774bc6a7ef9d -64 1a36e2ed -2d,[0.924818750025813647974715081545 +/- 8.65e-32],766075f70b52f1dd2f1a9fbe7 -63 0 0,true,true,true,[0.958 +/- 6.63e-4],7aae882b -1f 1bbc5c01 -29,0.958662898280182,[+/- 7.23e-4],bd4ba2f -27 bd4ba2f -27,0.000722104854503414,[0.92 +/- 4.41e-3],1d54b261 -1d 8202e03 -25,[0.947378501266939565539360046387 +/- 2.82e-31],7943b2dff -23 0 0,0.94737850126694,0.152523898,3.136431633,4.664523384,56.973918667,11,16,0.127256412,100
[-0.8496 +/- 2.51e-5],-d980346dfe8b44624dd2f1a9f -64 1a36e2ed -2d,[0.924806250025787454527304021212 +/- 3.58e-31],ecc01a36ff45a23126e978d4f -64 0 0,true,true,true,[0.958 +/- 6.59e-4],7aae5fb7 -1f 1bba3c01 -29,0.958658012561955,[+/- 7.10e-4],2e845f73 -29 2e845f73 -29,0.00070979433348839,[0.92 +/- 4.41e-3],3aa9527d -1e 81fd083 -25,[0.947829110751627013087272644043 +/- 3.13e-32],795276dc7 -23 0 0,0.947829110751627,0.178685993,4.250034417,4.581964801,55.802405633,17,16,0.127639497,100
[-0.8496 +/- 2.50e-5],-d97e90ffcfcac14fdf3b645a1 -64 1a36e2ed -2d,[0.924793750025761261079892960878 +/- 3.72e-31],ecbf487fe7e560a7ef9db22d -60 0 0,true,true,true,[0.958 +/- 6.40e-4],1eab711b -1d 1bb80801 -29,0.958639434539237,[+/- 7.39e-4],3068b65 -25 3068b65 -25,0.000738663205993362,[0.92 +/- 4.41e-3],1d54b851 -1d 8200e03 -25,[0.946779249061364680528640747070 +/- 3.13e-31],3c9807fdd -22 0 0,0.946779249061365,0.153410266,3.090174574,4.934436579,57.83931092,11,16,0.127369137,100
[-0.8496 +/- 5.00e-5],-d97ced91a10a3e3d70a3d70a3 -64 1a36e2ed -2d,[0.924781250025735067632481900545 +/- 1.01e-31],ecbe76c8d0851f1eb851eb851 -64 0 0,true,true,true,[0.958 +/- 6.41e-4],7aadce0d -1f 1bb5f401 -29,0.958640520461359,[+/- 7.17e-4],2ef85d7b -29 2ef85d7b -29,0.000716708013897005,[0.92 +/- 4.41e-3],3aa94949 -1e 81efc03 -25,[0.947576122183818370103836059570 +/- 3.13e-31],3ca51651d -22 0 0,0.947576122183819,0.201960947,3.979193925,4.635707559,54.634580202,15,16,0.1269959,100
[-0.8495 +/- 5.01e-5],-d97b4a237249bb2b020c49ba5 -64 1a36e2ed -2d,[0.924768750025708874185070840212 +/- 1.71e-31],765ed288dc926ecac083126e9 -63 0 0,true,true,true,[0.958 +/- 6.26e-4],1eab53bf -1d 1bb3d801 -29,0.95862531010107,[+/- 7.18e-4],2f07447b -29 2f07447b -29,0.000717596262802545,[0.92 +/- 4.41e-3],7552b70f -1f 82152c3 -25,[0.947544062801171094179153442383 +/- 1.88e-31],3ca48fda5 -22 0 0,0.947544062801172,0.233119981,4.457669074,4.65920964,56.090158582,17,16,0.12728826,100
[-0.8495 +/- 2.51e-5],-d979a6b5438938189374bc6a7 -64 1a36e2ed -2d,[0.924756250025682680737659779879 +/- 4.41e-31],ecbcd35aa1c49c0c49ba5e353 -64 0 0,true,true,true,[0.958 +/- 6.18e-4],3d5687db -1e 1bb1a801 -29,0.958617702126958,[+/- 7.10e-4],2e7953a5 -29 2e7953a5 -29,0.000709135933902872,[0.92 +/- 4.41e-3],7552a5cd -1f 81eba43 -25,[0.947854409401770681142807006836 +/- 6.25e-32],3ca9a58a7 -22 0 0,0.947854409401771,0.205566207,3.727987018,4.601167388,55.575547994,15,16,0.131258028,100
