α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.999600 +/- 3.00e-7],-ffe5c698d67a8c72b020c49b9 -64 2843ebeb -34,[0.999799925000151554543847964850 +/- 7.71e-32],3ffcb8d31acf518e560418937 -62 0 0,true,true,true,[1.787 +/- 5.03e-4],392b977b -1d 13712001 -2a,1.78664541989588,[+/- 2.24e-4],853d2ef2e6f4d2cda0996e09 -6c 327ba773 -2b,0.000223355336453448,[0.93 +/- 1.96e-3],7732789 -1b be41803 -26,[0.960047173372004181146621704102 +/- 4.38e-31],3d7169b31 -22 0 0,0.960047173372005,24.747482164,411.515147089,16.373910162,264.624215442,1449,4,5.137120082,100
[-0.999600 +/- 6.00e-7],-7ff2e0c82c7eaeac083126e97 -63 a10fafb -32,[0.999799775000151251136415453402 +/- 2.85e-31],fff2e0c82c7eaeac083126e97 -64 0 0,true,true,true,[1.787 +/- 4.98e-4],392ba3af -1d 136d6001 -2a,1.78665118291997,[+/- 2.23e-4],109ce2f846fcafd09802d2629 -6d c8212f3 -29,0.000222175139823455,[0.93 +/- 1.96e-3],3b9949dd -1e be3c503 -26,[0.960152803047094494104385375977 +/- 4.38e-31],3d7324be1 -22 0 0,0.960152803047095,24.271611098,398.239224161,16.088457794,258.063868103,1448,4,5.153392083,100
[-0.999599 +/- 4.01e-7],-ffe5bc87db802e3d70a3d70a3 -64 a10fafb -32,[0.999799625000150947728982941953 +/- 4.36e-31],fff2de43edc0171eb851eb851 -64 0 0,true,true,true,[1.787 +/- 5.02e-4],1c95cd3b -1c 1369c001 -2a,1.78664673119807,[+/- 2.23e-4],21489d87f4f12a7fa615356ed -6e 1903712d -2a,0.00022238578570905,[0.93 +/- 1.96e-3],3b9942f9 -1e be37003 -26,[0.960133967513684183359146118164 +/- 6.25e-32],3d72d5bd9 -22 0 0,0.960133967513685,24.432865873,405.670042138,16.157766829,261.741712219,1447,4,5.092457217,100
[-0.999599 +/- 2.00e-7],-1ffcb6efebc05fe45a1cac083 -61 2843ebeb -34,[0.999799475000150644321550430504 +/- 2.04e-31],3ffcb6efebc05fe45a1cac083 -62 0 0,true,true,true,[1.787 +/- 4.96e-4],392ba6d9 -1d 13660001 -2a,1.78665258176648,[+/- 2.22e-4],84dd1d5d5f73c4ec80d5994df -70 63413b9 -28,0.000221365494176829,[0.93 +/- 1.96e-3],ee653a9 -1c be31f03 -26,[0.960225458838976919651031494141 +/- 3.75e-31],1eba2abdd -21 0 0,0.960225458838977,24.440083628,401.662476115,16.153852376,260.362605825,1446,4,5.146714302,100
[-0.999599 +/- 5.00e-7],-3ff96c9db82174020c49ba5e3 -62 a10fafb -32,[0.999799325000150340914117919055 +/- 5.29e-32],7ff96c9db82174020c49ba5e3 -63 0 0,true,true,true,[1.787 +/- 4.95e-4],392ba855 -1d 13626001 -2a,1.78665323555493,[+/- 2.21e-4],84c126154df7d4a7921ac4f5d -70 315f2bcd -2b,0.000220773707912063,[0.93 +/- 1.96e-3],7732a671 -1f be2cc83 -26,[0.960278652666602283716201782227 +/- 4.38e-31],3d7534981 -22 0 0,0.960278652666603,24.333923339,399.825265426,16.012096321,258.598620013,1445,4,5.122055837,100
[-0.999598 +/- 5.01e-7],-ffe5ad6e6308a0ed916872b01 -64 a10fafb -32,[0.999799175000150037506685407606 +/- 9.76e-32],1ffe5ad6e6308a0ed916872b -5d 0 0,true,true,true,[1.7866 +/- 9.27e-5],392bac63 -1d 135ec001 -2a,1.78665511496388,[+/- 2.21e-4],84c6fd8c3061e0f8cbf299eeb -70 312cee51 -2b,0.000220421151322455,[0.93 +/- 1.96e-3],3b99554f -1e be27903 -26,[0.960310360242146998643875122070 +/- 3.13e-31],3d75b995d -22 0 0,0.960310360242147,24.195020676,398.325333758,16.050618422,258.647074815,1444,4,5.091594728,100
[-0.999598 +/- 2.01e-7],-7ff2d432f2c5b8e978d4fdf3b -63 a10fafb -32,[0.999799025000149734099252896158 +/- 4.60e-31],fff2d432f2c5b8e978d4fdf3b -64 0 0,true,true,true,[1.7866 +/- 9.26e-5],1c95d639 -1c 135b0001 -2a,1.78665508702421,[+/- 2.21e-4],1097771d271f91e03e02348b3 -6d 30fc0ed3 -2b,0.000220015041987984,[0.93 +/- 1.96e-3],7732afd3 -1f be22683 -26,0.960346939973533153533935546875,3d765303 -1e 0 0,0.960346939973534,24.271621007,398.931108763,16.019854442,259.027582867,1443,4,5.130124206,100
[-0.999598 +/- 4.00e-7],-ffe5a35d680e42b851eb851eb -64 2843ebeb -34,[0.999798875000149430691820384708 +/- 3.91e-31],fff2d1aeb407215c28f5c28f5 -64 0 0,true,true,true,[1.7866 +/- 9.09e-5],72575fdb -1e 13575001 -2a,1.78665669262432,[+/- 2.20e-4],4263d2638ad57c92c0a584a1b -6f 30d167ed -2b,0.000219741670723843,[0.93 +/- 1.96e-3],ee65645 -1c be1d203 -26,[0.960371564549859613180160522461 +/- 6.25e-32],3d76ba4b7 -22 0 0,0.96037156454986,24.328584157,400.648469363,16.156801435,258.906646574,1442,4,5.10224054,100
[-0.999597 +/- 6.01e-7],-ffe59e54ea91139db22d0e55f -64 a10fafb -32,[0.999798725000149127284387873259 +/- 2.40e-31],fff2cf2a754889ced916872af -64 0 0,true,true,true,[1.7866 +/- 8.83e-5],392bb565 -1d 1353c001 -2a,1.78665924631082,[+/- 2.20e-4],42554732d14b18ad60d0c0dd7 -6f 308be099 -2b,0.000219115282995694,[0.93 +/- 1.97e-3],7732c525 -1f be18183 -26,[0.960428058227989822626113891602 +/- 4.38e-31],3d77a73f1 -22 0 0,0.96042805822799,24.123218811,398.33231892,15.922802302,257.00467352,1441,4,5.058620457,100
[-0.999597 +/- 3.01e-7],-3ff966531b44f920c49ba5e35 -62 a10fafb -32,[0.999798575000148823876955361811 +/- 1.22e-31],7ff966531b44f920c49ba5e35 -63 0 0,true,true,true,[1.7866 +/- 9.07e-5],392bb017 -1d 13500001 -2a,1.78665666095936,[+/- 2.20e-4],2137d4a08a8e12a75b7b10e7d -6e 1843261f -2a,0.000219270281272937,[0.93 +/- 1.97e-3],ee65727 -1c be12b03 -26,[0.960414093133294954895973205566 +/- 4.07e-31],7aeed9585 -23 0 0,0.960414093133295,24.57052221,409.507134681,16.179385435,262.975767543,1440,4,5.093934115,100
[-0.999597 +/- 3.00e-7],-ffe59443ef96b56872b020c49 -64 a10fafb -32,[0.999798425000148520469522850362 +/- 2.73e-31],3ffcb2887df2d6ad0e5604189 -62 0 0,true,true,true,[1.7866 +/- 8.95e-5],1c95d953 -1c 134c6001 -2a,1.78665782697522,[+/- 2.20e-4],4295c26637ca4421f91cfffff -6f 61023d7 -28,0.000219515557343804,[0.93 +/- 1.97e-3],7732bef1 -1f be0da83 -26,[0.960391945991432294249534606934 +/- 4.07e-31],7aee1f8fb -23 0 0,0.960391945991433,24.579681344,408.712470152,16.371756722,263.837874603,1439,4,5.106427348,100
[-0.999597 +/- 6.00e-7],-7ff2c79db90cc326e978d4fdf -63 2843ebeb -34,[0.999798275000148217062090338913 +/- 3.67e-31],fff2c79db90cc326e978d4fdf -64 0 0,true,true,true,[1.7866 +/- 8.53e-5],1c95dda1 -1c 1348c001 -2a,1.78666187822842,[+/- 2.20e-4],8591d6301e8fa8c11b97f7b45 -70 307c59d5 -2b,0.000219861188845663,[0.93 +/- 1.97e-3],7732d2ef -1f be08a83 -26,[0.960360731492983177304267883301 +/- 2.19e-31],7aed19b71 -23 0 0,0.960360731492984,24.053479955,397.330414577,15.973532319,257.298047349,1438,4,5.041039795,100
