α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.9000 +/- 1.25e-5],-e665fd8b144fdf3b645a1cabf -64 346dc5db -2f,[0.949996875026186899049207568168 +/- 3.51e-31],f332fec58a27ef9db22d0e55f -64 0 0,true,true,true,[0.978 +/- 5.46e-4],7d39974d -1f 1d985c01 -29,0.97854583151684,[+/- 8.95e-4],3a970867 -29 3a970867 -29,0.000894012023309188,[0.92 +/- 3.23e-3],3abeed51 -1e 2510580d -27,[0.940844875498441979289054870605 +/- 4.69e-31],786d9ad97 -23 0 0,0.940844875498442,0.177577927,7.174873058,4.815901089,79.699275254,17,8,0.388619193,100
[-0.89998 +/- 7.51e-6],-e6652bd3fcef9db22d0e56041 -64 346dc5db -2f,[0.949990625026173802325502038001 +/- 4.09e-31],79994af4ff3be76c8b439581 -5f 0 0,true,true,true,[0.978 +/- 5.41e-4],3e9cb6eb -1e 1d969801 -29,0.97854083590255,[+/- 8.97e-4],3ac3d9d -25 3ac3d9d -25,0.000896683384780772,[0.92 +/- 3.24e-3],3abeea67 -1e 252e540d -27,[0.940756713127484545111656188965 +/- 1.57e-31],786ab74a3 -23 0 0,0.940756713127485,0.276021718,12.70526597,4.607060106,79.656788575,30,8,0.378023625,100
[-0.89997 +/- 7.50e-6],-73322d0e72c7ae147ae147ae1 -63 346dc5db -2f,[0.949984375026160705601796507835 +/- 1.68e-31],f3322d0e72c7ae147ae147ae1 -64 0 0,true,true,true,[0.978 +/- 5.43e-4],3e9cbdbb -1e 1d94c001 -29,0.978542405181088,[+/- 8.80e-4],399fcebb -29 399fcebb -29,0.000879276248269889,[0.92 +/- 3.24e-3],1d5f69cb -1d 250ab00d -27,[0.941334523231489583849906921387 +/- 2.82e-31],787da64ff -23 0 0,0.94133452323149,0.158965509,9.996766805,4.766468663,76.526957398,23,8,0.401799137,100
[-0.9000 +/- 5.00e-5],-e6638865ce2f1a9fbe76c8b43 -64 346dc5db -2f,[0.949978125026147608878090977668 +/- 1.38e-31],f331c432e7178d4fdf3b645a1 -64 0 0,true,true,true,[0.978 +/- 5.25e-4],3e9c748f -1e 1d92c001 -29,0.978524900041976,[+/- 9.24e-4],f22bccb -27 f22bccb -27,0.000923809402593179,[0.92 +/- 3.24e-3],757d7513 -1f 250ca50d -27,[0.939867780369240790605545043945 +/- 3.13e-31],3c26cb30d -22 0 0,0.939867780369241,0.317542067,14.086523742,4.830075165,82.202876192,34,8,0.403778189,100
[-0.8999 +/- 5.01e-5],-3998adabadb3b645a1cac0831 -62 346dc5db -2f,[0.949971875026134512154385447502 +/- 1.04e-31],7998adabadb3b645a1cac0831 -63 0 0,true,true,true,[0.978 +/- 5.33e-4],7d392d55 -1f 1d913401 -29,0.978532985784569,[+/- 8.83e-4],e776189 -27 e776189 -27,0.000882954835105921,[0.92 +/- 3.24e-3],3abecc53 -1e 25128c0d -27,[0.941212216333951801061630249023 +/- 4.38e-31],3c3cd229f -22 0 0,0.941212216333952,0.204614237,12.133033343,4.820994897,78.577679133,28,8,0.376519361,100
[-0.89993 +/- 7.51e-6],-e661e4f79f6e978d4fdf3b645 -64 346dc5db -2f,[0.949965625026121415430679917335 +/- 1.34e-31],7998793de7dba5e353f7ced91 -63 0 0,true,true,true,[0.978 +/- 5.79e-4],7d3aa8c9 -1f 1d909c01 -29,0.978578202426889,[+/- 1.01e-3],8395fc5 -26 8395fc5 -26,0.00100392060267041,[0.92 +/- 3.28e-3],3abe2fd1 -1e 2537da0d -27,[0.937312990077771246433258056641 +/- 3.75e-31],1dfe77cfd -21 0 0,0.937312990077772,0.186893566,9.410685277,4.747703714,88.664654903,20,8,0.357364548,100
[-0.89992 +/- 7.50e-6],-733089a044072b020c49ba5e3 -63 346dc5db -2f,[0.949959375026108318706974387169 +/- 3.75e-31],f33089a044072b020c49ba5e3 -64 0 0,true,true,true,[0.978 +/- 5.26e-4],7d38eb6d -1f 1d8dcc01 -29,0.978525027633169,[+/- 8.94e-4],1d44704f -28 1d44704f -28,0.000893168295078795,[0.92 +/- 3.25e-3],757d8139 -1f 252a430d -27,[0.940873424609890207648277282715 +/- 1.57e-31],786e8a563 -23 0 0,0.940873424609891,0.26270642,12.138739308,4.824843977,80.476560283,28,8,0.376208424,100
[-0.8999 +/- 1.26e-5],-e660418970ae147ae147ae147 -64 346dc5db -2f,[0.949953125026095221983268857002 +/- 4.05e-31],f33020c4b8570a3d70a3d70a3 -64 0 0,true,true,true,[0.978 +/- 5.19e-4],7d38b361 -1f 1d8bc401 -29,0.978518285789051,[+/- 8.85e-4],39fb732d -29 39fb732d -29,0.000884738558852405,[0.92 +/- 3.24e-3],757d862d -1f 25001f0d -27,[0.941153307532658800482749938965 +/- 1.57e-31],7877b62a3 -23 0 0,0.941153307532659,0.151653927,9.434662064,4.775421399,77.643472212,22,8,0.413928163,100
[-0.8999 +/- 1.25e-5],-1ccbedfa4b29ba5e353f7ced9 -61 346dc5db -2f,[0.949946875026082125259563326835 +/- 3.55e-31],3ccbedfa4b29ba5e353f7ced9 -62 0 0,true,true,true,[0.978 +/- 5.12e-4],7d387ad1 -1f 1d89fc01 -29,0.978511489928224,[+/- 8.78e-4],39854eef -29 39854eef -29,0.000877696772477066,[0.92 +/- 3.24e-3],1d5f62f3 -1d 2501c40d -27,[0.941388164268573746085166931152 +/- 3.44e-31],787f68493 -23 0 0,0.941388164268574,0.1521709,9.768771429,4.721337965,77.104904118,22,8,0.41814182,100
[-0.89988 +/- 7.51e-6],-e65e9e1b41ed916872b020c49 -64 346dc5db -2f,[0.949940625026069028535857796668 +/- 3.25e-31],3ccbd3c3683db22d0e5604189 -62 0 0,true,true,true,[0.978 +/- 4.98e-4],7d380833 -1f 1d880c01 -29,0.978497768752732,[+/- 9.03e-4],764bd89 -26 764bd89 -26,0.000902528940059711,[0.92 +/- 3.24e-3],757dbbc1 -1f 2504750d -27,[0.940565228869672864675521850586 +/- 6.25e-32],3c3238807 -22 0 0,0.940565228869673,0.293412944,12.665043084,4.757570754,79.707255714,30,8,0.392113894,100
