α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.2000 +/- 1.34e-5],-666586b49449bb6872b020c49 -65 1bf64763 -2e,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.3164 +/- 8.22e-5],2a1ff639 -1d 151d4001 -2a,1.31648213230097,[+/- 5.69e-5],40f35c815314c732b70944211 -71 365e048d -2d,5.6895202258276e-5,[0.979 +/- 2.81e-4],3eaaa1b5 -1e 1e48000b -2a,[0.982690852513769641518592834473 +/- 3.44e-31],7dc8d058d -23 0 0,0.98269085251377,0.026951366,8.265050771,0.574095552,6.012802591,3,2,0.015732372,100
[-0.19998 +/- 6.67e-6],-ccc78ea03c49bc72b020c49b9 -66 37ec8ec7 -2f,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.316 +/- 4.94e-4],2a200efb -1d 151da001 -2a,1.31649394333386,[+/- 5.69e-5],81e7d4f78c207a1c58245ef95 -72 365f0815 -2d,5.68981236248671e-5,[0.979 +/- 2.81e-4],3eaaa1ed -1e 1e48500b -2a,[0.982690330478362739086151123047 +/- 1.25e-31],1f7232fdf -21 0 0,0.982690330478363,0.025980804,8.175962742,0.796929064,5.943183251,3,2,0.01604754,100
[-0.2000 +/- 4.00e-5],-666207eba800010a3d70a3d7 -61 37ec8ec7 -2f,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.316 +/- 5.06e-4],151013df -1c 151e0001 -2a,1.31650575622939,[+/- 5.70e-5],81e8f0db7c19710f39c2e725f -72 36600bbb -2d,5.69010456030805e-5,[0.979 +/- 2.81e-4],7d554445 -1f 1e48780b -2a,[0.982689808355644345283508300781 +/- 2.50e-31],fb918f2d -20 0 0,0.982689808355645,0.028305577,8.447797312,0.549619375,6.131437967,3,2,0.015969742,100
[-0.2000 +/- 5.34e-5],-ccc0910e63b647b645a1cac07 -66 37ec8ec7 -2f,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.316 +/- 5.18e-4],2a204081 -1d 151e8001 -2a,1.31651757098758,[+/- 5.70e-5],207a84268825d4e9d8fc16af -6c 36611177 -2d,5.69039967804104e-5,[0.979 +/- 2.81e-4],7d5544b5 -1f 1e48d80b -2a,[0.982689281780039891600608825684 +/- 4.07e-31],7dc8c32bb -23 0 0,0.98268928178004,0.026740265,8.221042548,0.906532603,5.976307747,3,2,0.015882587,100
[-0.19994 +/- 6.67e-6],-665e8922bbb646ac083126e97 -65 37ec8ec7 -2f,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.316 +/- 5.30e-4],2a205945 -1d 151ee001 -2a,1.31652938574576,[+/- 5.70e-5],81eb289633ba5f8d6108112b3 -72 3662132d -2d,5.69068904525532e-5,[0.979 +/- 2.81e-4],7d55452d -1f 1e49180b -2a,[0.982688764008344151079654693604 +/- 4.85e-31],fb917da79 -24 0 0,0.982688764008345,0.026991112,8.336976302,0.565576854,6.113730308,3,2,0.01639013,100
[-0.1999 +/- 3.34e-5],-ccb9937c8b22d2f9db22d0e55 -66 37ec8ec7 -2f,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.316 +/- 5.42e-4],2a207209 -1d 151f6001 -2a,1.31654120236658,[+/- 5.70e-5],81ec48c88eedf62845f45ab83 -72 d98c635 -2b,5.69098426774179e-5,[0.979 +/- 2.81e-4],3eaaa2d -1a 1e49800b -2a,[0.982688237258116714656352996826 +/- 1.72e-31],fb9174d13 -24 0 0,0.982688237258117,0.026736538,8.103352811,0.823013836,5.891524796,3,2,0.01546785,100
[-0.1999 +/- 2.01e-5],-332d852ce7b64626e978d4fdf -64 37ec8ec7 -2f,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.316 +/- 5.54e-4],2a208acd -1d 151fc001 -2a,1.31655301712477,[+/- 5.70e-5],40f6b060890af24b8b9e013b -6d 1b320d57 -2c,5.69127373221171e-5,[0.979 +/- 2.81e-4],7d55460d -1f 1e49b80b -2a,[0.982687719311797991394996643066 +/- 4.07e-31],7dc8b6105 -23 0 0,0.982687719311798,0.026884549,8.373261094,0.560554751,6.086179312,3,2,0.016650835,100
[-0.19990 +/- 6.67e-6],-ccb295eab28f5e3d70a3d70a3 -66 37ec8ec7 -2f,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.316 +/- 5.65e-4],151051c9 -1c 15202001 -2a,1.31656483374559,[+/- 5.70e-5],81ee80eca0564c5bd897d9dd9 -72 1b32903d -2c,5.69156905019429e-5,[0.979 +/- 2.81e-4],3eaaa341 -1e 1e4a100b -2a,[0.982687192474259063601493835449 +/- 2.19e-31],7dc8b1a4f -23 0 0,0.98268719247426,0.026212433,8.368439333,0.545542306,6.144903473,3,2,0.01595233,100
[-0.1999 +/- 2.00e-5],-66578b90e322d1ef9db22d0e5 -65 37ec8ec7 -2f,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.3165 +/- 8.46e-5],15105e2b -1c 1520a001 -2a,1.31657665036642,[+/- 5.70e-5],40f7cc9096c5bce9e087bda97 -71 3666224d -2d,5.69185858008995e-5,[0.979 +/- 2.81e-4],3eaaa379 -1e 1e4a600b -2a,[0.982686674440628848969936370850 +/- 3.91e-31],fb915a98f -24 0 0,0.982686674440629,0.026673969,8.102021234,0.81687805,6.025635861,3,2,0.016552659,100
[-0.1999 +/- 3.34e-5],-ccab9858d9fbe9810624dd2f1 -66 37ec8ec7 -2f,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.3165 +/- 8.85e-5],2a20d51b -1d 15210001 -2a,1.31658846698725,[+/- 5.70e-5],81f0b96cf1ffaa0e78e9df47d -72 1b339415 -2c,5.69215399216505e-5,[0.979 +/- 2.81e-4],3eaaa3b1 -1e 1e4aa00b -2a,[0.982686147457570768892765045166 +/- 1.57e-32],fb9151c19 -24 0 0,0.982686147457571,0.026609748,8.221658187,0.583917535,6.090513972,3,2,0.015669222,100
