α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.99900 +/- 1.01e-6],-ffbe6e6539856028f5c28f5c1 -64 218def45 -32,[0.999499750000505172708997747576 +/- 7.69e-32],7fef9b994e61580a3d70a3d7 -5f 0 0,true,true,true,[1.786 +/- 1.53e-4],392679e5 -1d 1a168001 -2a,1.78604631312215,[+/- 2.50e-4],88bce802335279f5204ddc47d -70 3eb28f6b -2b,0.000249989430369651,[0.931 +/- 8.69e-4],3b979fb1 -1e c1b9d03 -26,[0.957739237113855779170989990234 +/- 3.75e-31],1ea5ccc1b -21 0 0,0.957739237113856,8.903612593,153.780763217,12.472838263,208.906987341,576,4,3.232352832,100
[-0.99900 +/- 2.01e-6],-ffbe5d9e41e4187ae147ae147 -64 218def45 -32,[0.999499250000504161350889376080 +/- 2.24e-31],ffdf2ecf20f20c3d70a3d70a3 -64 0 0,true,true,true,[1.786 +/- 2.39e-4],39280dfd -1d 1a114001 -2a,1.78623892180645,[+/- 2.54e-4],11715cacbdb166934ef20deb1 -6d 3f2ff6b7 -2b,0.000253598479726402,[0.93 +/- 1.98e-3],7732af25 -1f c1b8f83 -26,[0.957432980067096650600433349609 +/- 3.75e-31],1ea34a7d3 -21 0 0,0.957432980067097,8.770612893,180.284571408,10.334509809,224.426380955,580,4,3.200189179,100
[-0.99900 +/- 3.01e-6],-3fef9335d290b433333333333 -62 218def45 -32,[0.999498750000503149992781004584 +/- 3.70e-31],7fef9335d290b433333333333 -63 0 0,true,true,true,[1.786 +/- 1.48e-4],724d0771 -1e 1a095001 -2a,1.78605080209696,[+/- 2.48e-4],8726f7414f9cd7d375c5602bf -70 3e52e74f -2b,0.000247764486591165,[0.931 +/- 8.72e-4],772f5b4d -1f c1a9883 -26,[0.957927668147021904587745666504 +/- 9.38e-32],7a9d5fb35 -23 0 0,0.957927668147022,8.75633577,151.173874234,12.580687172,193.435339889,575,4,3.201319475,100
[-0.99900 +/- 4.01e-6],-ffbe3c1052a1891eb851eb851 -64 218def45 -32,[0.999498250000502138634672633088 +/- 2.73e-31],1ffbe3c1052a1891eb851eb85 -61 0 0,true,true,true,[1.786 +/- 1.67e-4],724cb6db -1e 1a02b001 -2a,1.78603149019205,[+/- 2.54e-4],45a8a6ab393cf240bbd9624ad -6f 3f1aef15 -2b,0.00025322724107168,[0.931 +/- 8.62e-4],3b978357 -1e c1a0b03 -26,[0.957466617983300238847732543945 +/- 3.13e-31],3d472210d -22 0 0,0.957466617983301,8.778614729,147.864330652,12.740383655,219.397750403,574,4,3.218860632,100
[-0.99900 +/- 5.01e-6],-7fdf15a4ad8020b851eb851eb -63 218def45 -32,[0.999497750000501127276564261592 +/- 1.26e-31],ffdf15a4ad8020b851eb851eb -64 0 0,true,true,true,[1.786 +/- 2.25e-4],724fdfe1 -1e 19fd9001 -2a,1.78622430004203,[+/- 2.51e-4],443ccb368ef57356f12138dfd -6f 1f70c9dd -2a,0.000250088951424736,[0.93 +/- 1.97e-3],1dcc9def -1d c19ff03 -26,[0.957728719862643629312515258789 +/- 6.25e-32],3d4b6d669 -22 0 0,0.957728719862644,8.784662094,179.37150025,10.474412475,209.999486214,578,4,3.179315996,100
[-0.99899 +/- 5.01e-6],-ffbe1a82635ef9c28f5c28f5b -64 218def45 -32,[0.999497250000500115918455890095 +/- 2.32e-31],ffdf0d4131af7ce147ae147ad -64 0 0,true,true,true,[1.786 +/- 1.63e-4],3926644d -1d 19f58001 -2a,1.78603552468144,[+/- 2.52e-4],89d6658b6ae829429e5904085 -70 1f61094d -2a,0.000251153640386838,[0.931 +/- 8.65e-4],772f20d7 -1f c190983 -26,[0.957641074463026598095893859863 +/- 2.82e-31],7a93fb941 -23 0 0,0.957641074463027,8.72301954,147.158837885,12.68107478,209.187928862,573,4,3.184340939,100
[-0.99899 +/- 4.01e-6],-7fdf04ddb5ded90a3d70a3d7 -5f 218def45 -32,[0.999496750000499104560347518599 +/- 3.79e-31],ffdf04ddb5ded90a3d70a3d7 -60 0 0,true,true,true,[1.786 +/- 2.29e-4],724ff379 -1e 19f07001 -2a,1.78622877597832,[+/- 2.52e-4],8a25fc23bc8de3c05629b293f -70 3ed6480f -2b,0.000251600697182343,[0.93 +/- 1.97e-3],77329351 -1f c18fc83 -26,[0.957601097907172515988349914551 +/- 2.19e-31],7a92ac3b1 -23 0 0,0.957601097907173,8.776669304,179.223042159,10.519699264,217.313564256,577,4,3.204590474,100
[-0.99899 +/- 3.01e-6],-ffbdf8f4741c6a66666666665 -64 218def45 -32,[0.999496250000498093202239147103 +/- 2.65e-31],7fef7e3d1d071a99999999999 -63 0 0,true,true,true,[1.786 +/- 1.58e-4],1c933711 -1c 19e8a001 -2a,1.78604002110683,[+/- 2.49e-4],884d601471842a143691fce4d -70 3e641061 -2b,0.000248989102513146,[0.931 +/- 8.68e-4],772f3c5b -1f c180983 -26,[0.957823948963778093457221984863 +/- 2.82e-31],7a99f9a41 -23 0 0,0.957823948963779,8.720859039,148.06291516,12.718173354,192.210444507,572,4,3.179036067,100
[-0.99899 +/- 2.01e-6],-ffbde82d7c7b22b851eb851eb -64 8637bd1 -30,[0.999495750000497081844130775607 +/- 1.18e-31],ffdef416be3d915c28f5c28f5 -64 0 0,true,true,true,[1.786 +/- 2.34e-4],725005ff -1e 19e39001 -2a,1.78623300045752,[+/- 2.54e-4],8bcb4857f842d0442ec404a95 -70 3eca8b3f -2b,0.000253082701759114,[0.93 +/- 1.98e-3],3b9956f -1a c17fc03 -26,[0.957476359821157529950141906738 +/- 2.82e-31],7a8e95da1 -23 0 0,0.957476359821158,8.762020299,179.295471983,10.380987007,220.043513308,576,4,3.177340924,100
[-0.99899 +/- 1.01e-6],-ffbdd76684d9db0a3d70a3d7 -60 218def45 -32,[0.999495250000496070486022404111 +/- 2.91e-32],1ffbdd76684d9db0a3d70a3d7 -61 0 0,true,true,true,[1.786 +/- 1.54e-4],724cec5f -1e 19db9001 -2a,1.78604366630339,[+/- 2.48e-4],86fcb5a4cb1b5182e2aeefc89 -70 1f0ad465 -2a,0.000247150764652895,[0.931 +/- 8.70e-4],3b97aa71 -1e c170803 -26,[0.957979891769355162978172302246 +/- 9.38e-32],7a9f15c8b -23 0 0,0.957979891769356,8.801857669,151.642774548,12.733970662,195.451101464,571,4,3.175850319,100
