α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.9900 +/- 2.00e-5],-7eb7fe08c9353e872b020c49b -63 29f16b15 -2e,[0.994995000023853195081358080642 +/- 1.96e-32],feb7fe08c9353e872b020c49b -64 0 0,true,true,true,[1.779 +/- 3.71e-4],71ddaeb5 -1e 1c3af801 -29,1.77937080338643,[+/- 4.00e-4],346dae23 -2a 346dae23 -2a,0.000399997240947414,[0.931 +/- 8.78e-4],772cce09 -1f d7aeb83 -26,[0.946642945491475984454154968262 +/- 2.82e-31],792b9895f -23 0 0,0.946642945491476,0.844983121,11.385879891,6.069472586,165.298330438,58,8,0.464474258,100
[-0.9900 +/- 4.00e-5],-fd6eac8639ced72b020c49ba5 -64 14f8b58b -2d,[0.994985000023829329940383559005 +/- 1.77e-31],7f5bab218e73b5cac083126e9 -63 0 0,true,true,true,[1.779 +/- 3.75e-4],1c776fab -1c 1c2dd001 -29,1.77937421761499,[+/- 4.00e-4],d1b3417 -28 d1b3417 -28,0.000399971422666568,[0.931 +/- 8.82e-4],1dcb3d53 -1d d795303 -26,[0.946644616284174844622611999512 +/- 2.82e-31],792ba699f -23 0 0,0.946644616284175,0.831013448,12.184197613,5.826634909,162.087930526,58,8,0.464564309,100
[-0.9900 +/- 6.00e-5],-3f5b573eb84ccc51eb851eb85 -62 29f16b15 -2e,[0.994975000023805464799409037368 +/- 4.16e-31],7f5b573eb84ccc51eb851eb85 -63 0 0,true,true,true,[1.779 +/- 3.78e-4],71ddce15 -1e 1c20c801 -29,1.77937750332103,[+/- 4.00e-4],d1b6c0d -28 d1b6c0d -28,0.000399997481508763,[0.931 +/- 8.87e-4],1dcb4711 -1d d77c403 -26,[0.946642828959738835692405700684 +/- 4.07e-31],792b979bb -23 0 0,0.946642828959739,0.861645964,13.760012268,5.759693996,163.346645003,58,8,0.464371544,100
[-0.9899 +/- 4.01e-5],-7eb606b7c44bc5b22d0e56041 -63 14f8b58b -2d,[0.994965000023781599658434515731 +/- 2.20e-31],feb606b7c44bc5b22d0e56041 -64 0 0,true,true,true,[1.779 +/- 3.81e-4],38eeee79 -1d 1c13b001 -29,1.77938065677927,[+/- 4.00e-4],d1b6dc5 -28 d1b6dc5 -28,0.000399998281864101,[0.931 +/- 8.91e-4],3b96a179 -1e d763b03 -26,[0.946642728260485455393791198730 +/- 4.69e-31],792b96c37 -23 0 0,0.946642728260486,0.839222458,19.367775573,5.349089822,163.32759352,58,8,0.464523421,100
[-0.9899 +/- 2.01e-5],-fd6abde42ffbe5810624dd2f1 -64 29f16b15 -2e,[0.994955000023757734517459994094 +/- 2.29e-32],1fd6abde42ffbe5810624dd2f -61 0 0,true,true,true,[1.779 +/- 2.15e-4],71db2095 -1e 1c056801 -29,1.77921325154648,[+/- 4.00e-4],346dbefb -2a 346dbefb -2a,0.000399999201817991,[0.931 +/- 8.50e-4],772bee7f -1f d745d83 -26,[0.946645176940364763140678405762 +/- 2.82e-31],792bab4df -23 0 0,0.946645176940365,0.844342001,10.995827236,6.04234938,162.53738596,57,8,0.464211291,100
[-0.9899 +/- 2.00e-5],-fd696e58d7603f9db22d0e55f -64 14f8b58b -2d,[0.994945000023733869376485472457 +/- 1.74e-31],feb4b72c6bb01fced916872af -64 0 0,true,true,true,[1.779 +/- 2.17e-4],38ed98eb -1d 1bf88001 -29,1.77921698056207,[+/- 4.00e-4],346d948f -2a 346d948f -2a,0.000399994263261761,[0.931 +/- 8.54e-4],772c166f -1f d72c383 -26,[0.946645450399955734610557556152 +/- 3.44e-31],792bad993 -23 0 0,0.946645450399956,0.822428247,10.983547925,6.008089709,161.536462528,57,8,0.464233994,100
[-0.9899 +/- 4.00e-5],-7eb40f66bf624cdd2f1a9fbe7 -63 14f8b58b -2d,[0.994935000023710004235510950820 +/- 4.19e-31],feb40f66bf624cdd2f1a9fbe7 -64 0 0,true,true,true,[1.779 +/- 2.21e-4],71db428d -1e 1beba801 -29,1.77922058291779,[+/- 4.00e-4],346db60d -2a 346db60d -2a,0.000399998162265547,[0.931 +/- 8.59e-4],772c3e19 -1f d712a83 -26,[0.946645136398728936910629272461 +/- 6.25e-32],3c95d57b7 -22 0 0,0.946645136398729,0.843394791,11.01056997,6.102716488,162.519792635,57,8,0.464183077,100
[-0.9899 +/- 6.00e-5],-fd66cf422628f3d70a3d70a3d -64 29f16b15 -2e,[0.994925000023686139094536429183 +/- 2.23e-31],7f59b3d0898a3cf5c28f5c28f -63 0 0,true,true,true,[1.779 +/- 2.25e-4],38eda959 -1d 1bded001 -29,1.7792240493004101,[+/- 4.00e-4],346ce51b -2a 346ce51b -2a,0.000399973837829748,[0.931 +/- 8.63e-4],3b9632bb -1e d6f9403 -26,[0.946646706725005060434341430664 +/- 6.25e-32],3c95dc119 -22 0 0,0.9466467067250051,0.844395992,11.112625934,5.942401468,162.371779393,57,8,0.464514685,100
[-0.9898 +/- 4.01e-5],-fd657fb6cd8d4df3b645a1cab -64 14f8b58b -2d,[0.994915000023662273953561907546 +/- 2.61e-32],feb2bfdb66c6a6f9db22d0e55 -64 0 0,true,true,true,[1.779 +/- 2.28e-4],71db624b -1e 1bd20801 -29,1.77922738716052,[+/- 4.00e-4],346cf267 -2a 346cf267 -2a,0.000399975385789731,[0.931 +/- 8.67e-4],3b964645 -1e d6e0003 -26,[0.946646553406026214361190795898 +/- 4.38e-31],3c95db6cf -22 0 0,0.946646553406027,0.84565961,10.647625252,6.0253914,160.375177305,57,8,0.464121131,100
[-0.9898 +/- 2.01e-5],-7eb21815ba78d4083126e978d -63 29f16b15 -2e,[0.994905000023638408812587385910 +/- 3.82e-31],feb21815ba78d4083126e978d -64 0 0,true,true,true,[1.779 +/- 2.31e-4],71db714f -1e 1bc54801 -29,1.77923058718489,[+/- 4.00e-4],346d7e27 -2a 346d7e27 -2a,0.000399991654830956,[0.931 +/- 8.71e-4],1dcb2cd3 -1d d6c6e03 -26,[0.946645420364802703261375427246 +/- 9.38e-32],792bad58b -23 0 0,0.946645420364803,0.770305306,11.522639775,6.133720287,164.067335113,57,8,0.464374851,100
