α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.9999000 +/- 5.00e-8],-1fff2e3b7caeb3ad0e5604189 -61 1ad7f29d -36,[0.999949987500012609009658604008 +/- 3.38e-31],3fff2e3b7caeb3ad0e5604189 -62 0 0,true,true,true,[1.7868 +/- 6.75e-5],725b3aa1 -1e 19d52001 -2b,1.7868674490602,[+/- 2.50e-4],931a389cd9d23cac379c2e1b -6c 39840907 -2b,0.00024999041732206,[0.93 +/- 1.99e-3],773302bf -1f c10dc83 -26,[0.957729440124239772558212280273 +/- 4.38e-31],3d4b706bf -22 0 0,0.95772944012424,143.720924086,594.452622423,22.585648189,689.08282811,5799,4,218.851859689,100
[-0.9998999 +/- 5.01e-8],-3ffe5c414978300e560418937 -62 1ad7f29d -36,[0.999949962500012558441753185434 +/- 2.59e-31],7ffe5c414978300e560418937 -63 0 0,true,true,true,[1.7868 +/- 9.66e-5],725bb4d7 -1e 19d22001 -2b,1.78689656406653,[+/- 2.50e-4],4a054d9a2780efbef4412a057 -6f 390c699d -2b,0.000249994663039878,[0.93 +/- 2.01e-3],7733a76f -1f c10b883 -26,[0.957728736801072955131530761719 +/- 2.50e-31],f52db5e3 -20 0 0,0.957728736801073,143.163268176,591.397051311,22.649291921,688.191233636,5796,4,216.948987923,100
[-0.9998999 +/- 5.00e-8],-fff9702e664be30a3d70a3d7 -60 35afe539 -37,[0.999949937500012507873847766859 +/- 1.47e-31],1fff9702e664be30a3d70a3d7 -61 0 0,true,true,true,[1.7869 +/- 9.35e-5],392dec11 -1d 19cec001 -2b,1.78690495342028,[+/- 2.50e-4],94616f487ddc5617977fb0e69 -70 1c70373b -2a,0.000249990439697948,[0.93 +/- 2.00e-3],77337965 -1f c107f83 -26,[0.957728994661010801792144775391 +/- 3.75e-31],1ea5b746d -21 0 0,0.957728994661011,142.990636839,587.400388864,23.228954374,688.532961503,5793,4,216.794064426,100
[-0.9998998 +/- 5.01e-8],-fff96f57a6b705db22d0e5603 -64 1ad7f29d -36,[0.999949912500012457305942348284 +/- 2.39e-31],fffcb7abd35b82ed916872b01 -64 0 0,true,true,true,[1.7869 +/- 7.94e-5],725c1365 -1e 19cba001 -2b,1.786919059232,[+/- 2.50e-4],937d51adfd6f928dd452faf29 -70 3953287f -2b,0.00024999542324565,[0.93 +/- 2.02e-3],77340d3 -1b c105a03 -26,[0.957728406501701101660728454590 +/- 1.57e-31],7a96d82c3 -23 0 0,0.957728406501702,142.793306748,587.96655802,22.707460325,687.025489825,5790,4,216.60249914,100
[-0.9998998 +/- 5.00e-8],-fff96e80e72228ac083126e97 -64 35afe539 -37,[0.999949887500012406738036929709 +/- 1.67e-31],fffcb7407391145604189374b -64 0 0,true,true,true,[1.7868 +/- 9.87e-5],392ddee1 -1d 19c84001 -2b,1.78689861670148,[+/- 2.50e-4],9361290ec53db853bd2f3c381 -70 e577011 -29,0.000249969446870778,[0.93 +/- 2.00e-3],3b99c579 -1e c101903 -26,[0.957730844529578462243080139160 +/- 1.57e-31],7a96ec9fd -23 0 0,0.957730844529579,143.685471893,590.625222998,23.077559207,691.232693185,5787,4,216.48571022,100
[-0.9998997 +/- 5.01e-8],-7ffcb6d513c6a5be76c8b4395 -63 1ad7f29d -36,[0.999949862500012356170131511135 +/- 4.30e-31],fffcb6d513c6a5be76c8b4395 -64 0 0,true,true,true,[1.7868 +/- 8.69e-5],725b8c55 -1e 19c4a001 -2b,1.78688680566859,[+/- 2.50e-4],93cf80386eec43fac150ca387 -70 3927a0b3 -2b,0.000249977247132921,[0.93 +/- 2.00e-3],773362af -1f c0fde83 -26,[0.957730324706062674522399902344 +/- 2.50e-31],f52dd087 -20 0 0,0.957730324706063,142.195198135,581.793408909,23.020583331,685.261374798,5784,4,215.798060176,100
[-0.9998997 +/- 5.00e-8],-7ffcb669b3fc3726e978d4fdf -63 35afe539 -37,[0.999949837500012305602226092560 +/- 2.45e-32],fffcb669b3fc3726e978d4fdf -64 0 0,true,true,true,[1.7868 +/- 5.59e-5],1c96b487 -1c 19c14001 -2b,1.78684238158178,[+/- 2.50e-4],49319d6e761ecf42bcfe1d3f5 -6f e7817cf -29,0.000249996684313079,[0.93 +/- 1.98e-3],ee65821 -1c c0f9803 -26,[0.957729206827934831380844116211 +/- 6.25e-32],3d4b6f717 -22 0 0,0.957729206827935,142.564656419,585.55235058,23.201024704,684.136341202,5781,4,215.554672197,100
[-0.9998996 +/- 5.01e-8],-fff96bfca863911eb851eb851 -64 1ad7f29d -36,[0.999949812500012255034320673985 +/- 4.09e-31],1fff96bfca863911eb851eb85 -61 0 0,true,true,true,[1.7868 +/- 8.15e-5],1c96dd87 -1c 19be4001 -2b,1.78688145987701,[+/- 2.50e-4],24d572f3bdc24b991d189cdbd -6e 72cc7d9 -28,0.000249990398456532,[0.93 +/- 2.00e-3],773373f3 -1f c0f7783 -26,[0.957729276036843657493591308594 +/- 2.50e-31],f52dbeef -20 0 0,0.957729276036844,142.650317681,583.14082317,22.95532975,685.556016882,5778,4,215.56004079,100
[-0.9998996 +/- 5.00e-8],-fff96b25e8ceb3ef9db22d0e5 -64 35afe539 -37,[0.999949787500012204466415255410 +/- 4.24e-33],7ffe5ac97a33acfbe76c8b439 -63 0 0,true,true,true,[1.7868 +/- 9.78e-5],392ddd51 -1d 19bb0001 -2b,1.78689777292323,[+/- 2.50e-4],49e235c555cd17d52830f1835 -6f 392fb423 -2b,0.000249996138374532,[0.93 +/- 2.00e-3],3b99b98f -1e c0f4103 -26,[0.957728597801178693771362304688 +/- 5.00e-31],7a96d9c7 -1f 0 0,0.957728597801179,142.283877624,583.735732319,23.245070179,686.662199123,5775,4,215.22032056,100
[-0.9998995 +/- 5.01e-8],-1fff2d49e5273ad810624dd2f -61 1ad7f29d -36,[0.999949762500012153898509836835 +/- 4.01e-31],3fff2d49e5273ad810624dd2f -62 0 0,true,true,true,[1.7868 +/- 8.97e-5],1c96e62f -1c 19b7c001 -2b,1.78688966669154,[+/- 2.50e-4],9359f078b4ee5a1d90b91344d -70 1cb2821b -2a,0.000249996677934335,[0.93 +/- 1.99e-3],7733395 -1b c0f0403 -26,[0.957728648092597723007202148438 +/- 5.00e-31],7a96da33 -1f 0 0,0.957728648092598,142.174862102,582.88818697,23.014198626,687.037832334,5773,4,215.119711663,100
