α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.95000 +/- 3.00e-6],-79998d0467b7b4cb295e9e1b -5f 3254e6e5 -31,[0.974999250007129014594653426684 +/- 3.35e-31],f9998d0467b7b4cb295e9e1b -60 0 0,true,true,true,[0.999 +/- 5.58e-4],7feabb47 -1f 1b225401 -29,0.999557955190995,[+/- 1.48e-3],7950e0754c7171df96b4e34a5 -6d 121437e5 -27,0.00147729367440598,[0.92 +/- 1.87e-3],eba4a2f -1c 2d6e740d -27,[0.923145820503123104572296142578 +/- 1.25e-31],1d8a691a9 -21 0 0,0.923145820503124,0.810911503,46.620347722,5.083764429,597.104248264,36,8,0.78704286,100
[-0.95000 +/- 6.00e-6],-f332e7b3e88bacc2f837b4a23 -64 3254e6e5 -31,[0.974997750007126162419268666781 +/- 3.48e-31],f99973d9f445d6617c1bda511 -64 0 0,true,true,true,[0.999 +/- 3.98e-4],7fe579a9 -1f 1b1fac01 -29,0.999397465959647,[+/- 1.05e-3],1122441f -27 1122441f -27,0.00104576733065187,[0.92 +/- 2.00e-3],75d62487 -1f 2de9530d -27,[0.935342820477671921253204345703 +/- 1.25e-31],1dee54111 -21 0 0,0.935342820477672,0.839227558,31.703303857,4.819619126,106.117328601,36,8,0.942865916,100
[-0.94999 +/- 4.01e-6],-f332b55f01a7efef9db22d0e5 -64 3254e6e5 -31,[0.974996250007123310243883906878 +/- 3.62e-31],7cccad57c069fbfbe76c8b439 -63 0 0,false,false,false,[0.999 +/- 5.55e-4],7feaa233 -1f 1b20a401 -29,0.999554915354111,[0.001 +/- 5.53e-4],8365adf77f681ac7fa75bbd79 -6d 902dca5 -26,0.00155247970519563,[0.92 +/- 1.87e-3],3ae92a63 -1e 2d4dc40d -27,nan,0 -3 0 -1,NaN,0.590133451,31.412027493,4.53119889,NaN,23,8,0.775436902,100
[-0.94999 +/- 2.00e-6],-f332830a1ac4331c432ca57a7 -64 3254e6e5 -31,[0.974994750007120458068499146975 +/- 3.75e-31],f99941850d62198e219652bd3 -64 0 0,true,true,true,[0.999 +/- 3.69e-4],7fe48af3 -1f 1b1d5401 -29,0.999368939549186,[+/- 1.03e-3],10b6e945 -27 10b6e945 -27,0.00102017193057691,[0.92 +/- 2.01e-3],3aeb606d -1e 2d7db60d -27,[0.936139883124269545078277587891 +/- 3.75e-31],1df4dba0d -21 0 0,0.93613988312427,1.12189174,34.292015241,4.819765585,103.426970701,40,8,0.886024489,100
[-0.94999 +/- 5.00e-6],-f33250b533e07648e8a71de69 -64 3254e6e5 -31,[0.974993250007117605893114387072 +/- 3.88e-31],3e664a16a67c0ec91d14e3bcd -62 0 0,true,true,true,[0.999 +/- 4.00e-4],3ff2c3b5 -1e 1b1d3001 -29,0.999399031512894,[+/- 1.06e-3],227b41d7 -28 227b41d7 -28,0.00105229105793115,[0.92 +/- 1.99e-3],75d5fc25 -1f 2dc2c70d -27,[0.935141410329379141330718994141 +/- 3.75e-31],1decadadd -21 0 0,0.93514141032938,0.859424387,31.927783406,4.722389838,111.926686308,35,8,0.831189279,100
[-0.94998 +/- 5.01e-6],-f3321e604cfcb9758e219652b -64 3254e6e5 -31,[0.974991750007114753717729627169 +/- 4.02e-31],f9990f30267e5cbac710cb295 -64 0 0,true,true,true,[0.999 +/- 4.02e-4],7fe5998d -1f 1b1c0c01 -29,0.999401159584977,[+/- 1.01e-3],20d87e8f -28 20d87e8f -28,0.00100237063998066,[0.92 +/- 1.98e-3],75d5e795 -1f 2d4a8f0d -27,[0.936698471778072416782379150391 +/- 3.75e-31],1df96f12d -21 0 0,0.936698471778073,0.724903204,28.840967921,4.683966302,101.98483269,32,8,0.966540328,100
[-0.94998 +/- 2.01e-6],-f331ec0b6618fca2339c0ebed -64 192a7373 -30,[0.974990250007111901542344867266 +/- 4.15e-31],7ccc7b02d9863f288ce703afb -63 0 0,true,true,true,[0.999 +/- 3.62e-4],3ff22751 -1e 1b1ac001 -29,0.999361672439136,[+/- 1.02e-3],213ef0ff -28 213ef0ff -28,0.00101458327662841,[0.92 +/- 2.01e-3],75d6d081 -1f 2d5f8b0d -27,[0.936315272410865873098373413086 +/- 6.25e-32],3bec96e47 -22 0 0,0.936315272410866,0.818395305,34.387602686,4.956785149,105.93894752,38,8,0.833914243,100
[-0.94998 +/- 4.00e-6],-f331b9b67f353fced916872b -60 3254e6e5 -31,[0.974988750007109049366960107363 +/- 3.61e-31],1f331b9b67f353fced916872b -61 0 0,true,true,true,[0.999 +/- 3.79e-4],ffc9b51 -1c 1b1af001 -29,0.999378355220415,[+/- 1.21e-3],27a0e835 -28 27a0e835 -28,0.00120936716302822,[0.92 +/- 2.03e-3],ebacc03 -1c 2e97640d -27,[0.930469692859333008527755737305 +/- 3.13e-31],3b8cd0c13 -22 0 0,0.930469692859333,0.892703639,32.226513978,4.774609204,183.344071521,38,8,0.907976103,100
[-0.94997 +/- 6.01e-6],-7998c3b0cc28c17dbf487fcb9 -63 3254e6e5 -31,[0.974987250007106197191575347460 +/- 3.48e-31],f998c3b0cc28c17dbf487fcb9 -64 0 0,true,true,true,[0.999 +/- 3.96e-4],3ff2b4d7 -1e 1b19b001 -29,0.999395382591047,[+/- 1.06e-3],8a2f2ef -26 8a2f2ef -26,0.00105426261870889,[0.92 +/- 1.98e-3],3aeaf749 -1e 2d5d8c0d -27,[0.935080798051785677671432495117 +/- 1.88e-31],3bd85d21b -22 0 0,0.935080798051786,0.731774419,30.213186797,4.6866071,113.210553676,34,8,0.805883632,100
[-0.94997 +/- 3.01e-6],-3ccc55432c5b718a0902de00d -62 3254e6e5 -31,[0.974985750007103345016190587557 +/- 3.34e-31],7ccc55432c5b718a0902de00d -63 0 0,true,true,true,[0.999 +/- 4.52e-4],7fe7440b -1f 1b1a8c01 -29,0.999451956712165,[+/- 1.35e-3],5840f5f -25 5840f5f -25,0.00134664539655205,[0.92 +/- 2.00e-3],75d48797 -1f 2f8b990d -27,[0.926626763946842402219772338867 +/- 1.88e-31],3b4dda57b -22 0 0,0.926626763946843,1.34034726,40.911331761,5.179098554,286.724015161,48,8,0.763278142,100
