α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.8000 +/- 5.00e-5],-cccb295f113f7ced916872b01 -64 1a36e2ed -2c,[0.899987500052360701374709606170 +/- 1.54e-31],1cccb295f113f7ced916872b -5d 0 0,true,true,true,[0.940 +/- 2.59e-4],7851d9b5 -1f 10d01601 -28,0.940254420042948,[+/- 7.68e-4],1926c73b -28 1926c73b -28,0.000767562180044479,[0.92 +/- 4.75e-3],3aa4ed5d -1e 8b58603 -25,[0.946270896529313176870346069336 +/- 6.25e-32],3c8fb3ce7 -22 0 0,0.946270896529314,0.692126852,2.671490392,4.606641194,56.474906143,11,16,0.473048125,100
[-0.7999 +/- 5.01e-5],-6663f14159df3b645a1cac083 -63 1a36e2ed -2c,[0.899962500052308314479887485504 +/- 9.37e-32],e663f14159df3b645a1cac083 -64 0 0,true,true,true,[0.940 +/- 2.79e-4],7851315d -1f 10ce4a01 -28,0.940234244802014,[+/- 7.63e-4],31f7e009 -29 31f7e009 -29,0.000762455173571653,[0.92 +/- 4.75e-3],1d527ab1 -1d 8b59e03 -25,[0.946450513729359954595565795898 +/- 4.38e-31],3c92a52cf -22 0 0,0.94645051372936,0.372092428,1.87077005,4.721957645,56.716590442,8,16,0.467909839,100
[-0.7999 +/- 5.00e-5],-66624dd32b1eb851eb851eb85 -63 1a36e2ed -2c,[0.899937500052255927585065364838 +/- 4.49e-31],e6624dd32b1eb851eb851eb85 -64 0 0,true,true,true,[0.940 +/- 3.03e-4],78506b7b -1f 10cc5e01 -28,0.940210540779845,[+/- 7.60e-4],31c8097b -29 31c8097b -29,0.00075960380036122,[0.92 +/- 4.75e-3],754a1369 -1f 8b58343 -25,[0.946551411383552476763725280762 +/- 2.82e-31],792898bdf -23 0 0,0.946551411383553,0.735450865,3.000103022,4.72064685,57.920894751,15,16,0.467104243,100
[-0.7998 +/- 5.01e-5],-6660aa64fc5e353f7ced91687 -63 1a36e2ed -2c,[0.899912500052203540690243244171 +/- 1.01e-32],e660aa64fc5e353f7ced91687 -64 0 0,true,true,true,[0.940 +/- 3.14e-4],78500c2b -1f 10caaa01 -28,0.940199077130274,[+/- 7.65e-4],190cf719 -28 190cf719 -28,0.00076448502841231,[0.92 +/- 4.75e-3],7549e5d9 -1f 8b54943 -25,[0.946380282577592879533767700195 +/- 3.13e-31],3c917e9ad -22 0 0,0.946380282577593,0.383015876,1.85251035,4.732064145,57.254577838,8,16,0.472288726,100
[-0.7998 +/- 5.00e-5],-665f06f6cd9db22d0e5604189 -63 1a36e2ed -2c,[0.899887500052151153795421123504 +/- 4.69e-31],e65f06f6cd9db22d0e5604189 -64 0 0,true,true,true,[0.940 +/- 3.36e-4],3c27a773 -1e 10c8c801 -28,0.94017640221955,[+/- 7.55e-4],316b0417 -29 316b0417 -29,0.00075405931329442,[0.92 +/- 4.75e-3],754a0749 -1f 8b4d8c3 -25,[0.946747800975572317838668823242 +/- 1.88e-31],3c978416b -22 0 0,0.946747800975573,0.383072514,2.035820168,4.789938168,56.719847825,9,16,0.471631562,100
[-0.7997 +/- 5.01e-5],-665d63889edd2f1a9fbe76c8b -63 1a36e2ed -2c,[0.899862500052098766900599002838 +/- 7.36e-32],e65d63889edd2f1a9fbe76c8b -64 0 0,true,true,true,[0.940 +/- 3.55e-4],3c2758c1 -1e 10c6f801 -28,0.940157531761543,[+/- 7.56e-4],18c2a739 -28 18c2a739 -28,0.000755626346290228,[0.92 +/- 4.75e-3],754a0ddb -1f 8b567c3 -25,[0.946693032135954126715660095215 +/- 1.57e-31],792d3cbe3 -23 0 0,0.946693032135955,0.715493177,2.906262124,4.673169036,56.784219846,15,16,0.471983408,100
[-0.7997 +/- 5.00e-5],-665bc01a701cac083126e978d -63 1a36e2ed -2c,[0.899837500052046380005776882171 +/- 3.85e-31],e65bc01a701cac083126e978d -64 0 0,true,true,true,[0.940 +/- 3.74e-4],784e142f -1f 10c53a01 -28,0.94013867341073,[+/- 7.58e-4],18d057d1 -28 18d057d1 -28,0.000757258299927344,[0.92 +/- 4.75e-3],1d528529 -1d 8b73503 -25,[0.946636034001130610704421997070 +/- 3.13e-31],3c95af4dd -22 0 0,0.946636034001131,0.771306778,2.929817839,4.631888705,58.059884998,15,16,0.471596896,100
[-0.7996 +/- 5.01e-5],-665a1cac415c28f5c28f5c28f -63 1a36e2ed -2c,[0.899812500051993993110954761505 +/- 1.58e-31],e65a1cac415c28f5c28f5c28f -64 0 0,true,true,true,[0.940 +/- 3.88e-4],3c26ce05 -1e 10c36c01 -28,0.940124243498758,[+/- 7.58e-4],c69ed4d -27 c69ed4d -27,0.000757676829380217,[0.92 +/- 4.75e-3],3aa4fdef -1e 8b60583 -25,[0.946621698734816163778305053711 +/- 6.25e-32],3c95732d7 -22 0 0,0.946621698734817,0.683897057,2.878169873,4.614470089,56.688792448,15,16,0.472704635,100
[-0.7996 +/- 5.00e-5],-6658793e129ba5e353f7ced91 -63 1a36e2ed -2c,[0.899787500051941606216132640838 +/- 3.02e-31],e658793e129ba5e353f7ced91 -64 0 0,true,true,true,[0.940 +/- 4.10e-4],784ce4fb -1f 10c18a01 -28,0.940102308989481,[+/- 7.58e-4],319c6dcd -29 319c6dcd -29,0.000757004553634034,[0.92 +/- 4.74e-3],754a1845 -1f 8b51143 -25,[0.946646007330855354666709899902 +/- 3.44e-31],792bb2453 -23 0 0,0.946646007330856,0.729512632,2.71365599,4.666028045,58.51383637,13,16,0.472574117,100
[-0.7995 +/- 5.01e-5],-6656d5cfe3db22d0e56041893 -63 1a36e2ed -2c,[0.899762500051889219321310520172 +/- 2.41e-31],e656d5cfe3db22d0e56041893 -64 0 0,true,true,true,[0.940 +/- 4.24e-4],784c69b7 -1f 10bfca01 -28,0.94008751027377,[+/- 7.56e-4],18c51643 -28 18c51643 -28,0.000755916471462115,[0.92 +/- 4.75e-3],754a0225 -1f 8b4e4c3 -25,[0.946684785012621432542800903320 +/- 3.13e-31],3c967bc7d -22 0 0,0.946684785012622,0.693322777,2.948485822,4.73627862,56.87879478,15,16,0.471543285,100
