α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.0250 +/- 1.26e-5],-ccbfb15d2395836c8b439580f -69 1a36e2ed -2e,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.5278 +/- 2.49e-5],61c7701 -1a 17a78001 -2c,1.52782027237123,[+/- 5.20e-7],5691e5bc4b5246cca2373ad89 -78 34e9ef27 -34,5.1961733833355e-7,[0.99 +/- 5.01e-3],3fa533d -1a 8f611 -1e,[0.998217984079019515775144100189 +/- 2.09e-31],7fc59b5df3 -27 0 0,0.99821798407902,0.019743244,0.137142526,0.016856124,5.559642522,2,0,0.026109989,100
[-0.02498 +/- 7.51e-6],-cca57a7a378d5245a1cac083 -65 346dc5db -2f,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.5278 +/- 4.08e-5],61c7c5c1 -1e 17a7c001 -2c,1.52784070372588,[+/- 5.20e-7],568079f57dd6e4a26a179d99f -78 69cbe65 -31,5.19305849320598e-7,[0.99 +/- 5.01e-3],7f4a7c87 -1f 11ee3b -1f,[0.998218506368175440002232789993 +/- 2.87e-31],ff8b3f7f1d -28 0 0,0.998218506368176,0.01954105,0.134583129,0.016787083,5.474302509,2,0,0.026092525,100
[-0.02497 +/- 7.51e-6],-cc8b43974b85211eb851eb851 -69 346dc5db -2f,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.5278 +/- 6.12e-5],61c81b73 -1e 17a84001 -2c,1.52786113694316,[+/- 5.19e-7],566f1059f9f4d60f3b948e73b -78 34e1f613 -34,5.18994421877837e-7,[0.99 +/- 5.02e-3],7f4a9175 -1f 11f057 -1f,[0.998219028711901046335697174072 +/- 2.66e-31],ff8b48429 -24 0 0,0.998219028711901,0.019521863,0.135108556,0.016798975,5.540518522,2,0,0.026281565,100
[-0.0250 +/- 5.01e-5],-6638865a2fbe77fbe76c8b439 -68 346dc5db -2f,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.5279 +/- 6.36e-5],61c87125 -1e 17a84001 -2c,1.52788156829781,[+/- 5.19e-7],acbb5212b63a439bac29954c5 -79 34ddf801 -34,5.18683068574592e-7,[0.99 +/- 5.02e-3],7f4aa65f -1f 11f26b -1f,[0.998219551102010882459580898285 +/- 8.80e-32],7fc5a8831b -27 0 0,0.998219551102011,0.019917194,0.138232896,0.017103033,5.454706325,2,0,0.02659007,100
[-0.0249 +/- 5.01e-5],-cc56d5d17374bed0e56041893 -69 1a36e2ed -2e,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.5279 +/- 4.32e-5],187231b7 -1c 17a80001 -2c,1.52790200337774,[+/- 5.19e-7],2b2621ec33136d7bd0df38467 -77 34d9f8d1 -34,5.18371772484157e-7,[0.99 +/- 5.02e-3],7f4abb4b -1f 11f48d -1f,[0.998220073555785347707569599152 +/- 3.89e-31],7fc5ace511 -27 0 0,0.998220073555786,0.01964147,0.139080385,0.016877515,5.506561439,2,0,0.026819475,100
[-0.02493 +/- 7.51e-6],-cc3c9eee876c8da9fbe76c8b3 -69 346dc5db -2f,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.5279 +/- 2.27e-5],61c91c9 -1a 17a80001 -2c,1.52792243659502,[+/- 5.19e-7],563ae0e66d5eaf68f4800dd1b -78 d357e27 -32,5.18060546112415e-7,[0.99 +/- 5.02e-3],3fa56819 -1e 23ed5 -1c,[0.998220596060491516254842281342 +/- 4.48e-31],7fc5b14723 -27 0 0,0.998220596060492,0.019466398,0.135318755,0.016713093,5.394756837,2,0,0.025995491,100
[-0.02492 +/- 7.51e-6],-33089a02e6d91720c49ba5e35 -67 346dc5db -2f,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.5279 +/- 4.29e-5],18725c91 -1c 17a80001 -2c,1.52794286981231,[+/- 5.18e-7],ac530046be2d1749439075289 -79 34d1f753 -34,5.17749382560648e-7,[0.99 +/- 5.03e-3],1fd2b949 -1d 8fc63 -1e,[0.998221118626133829820901155472 +/- 1.99e-31],ff8b6b52ad -28 0 0,0.998221118626134,0.019662821,0.135484259,0.016861404,5.48114644,2,0,0.026557417,100
[-0.0249 +/- 1.26e-5],-cc083128af5c2b5c28f5c28f5 -69 346dc5db -2f,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.5279 +/- 6.34e-5],187271ff -1c 17a80001 -2c,1.52796330675489,[+/- 5.18e-7],ac30428d9dcba6b60e13d80df -79 699bea9 -31,5.17438283955273e-7,[0.99 +/- 5.03e-3],7f4afa0f -1f 11fae3 -1f,[0.998221641245436330791562795639 +/- 3.81e-32],ff8b74174f -28 0 0,0.998221641245437,0.01952583,0.135312303,0.016772515,5.436119055,2,0,0.026191794,100
[-0.0249 +/- 1.26e-5],-65f6fd22e1a9fd1a9fbe76c8b -68 1a36e2ed -2e,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.5280 +/- 6.14e-5],61ca1db3 -1e 17a7c001 -2c,1.52798374183482,[+/- 5.18e-7],ac0d89d7569de251641015adf -79 34c9f1e3 -34,5.17127250947253e-7,[0.99 +/- 5.03e-3],3fa58781 -1e 8fe7f -1e,[0.998222163921127503272145986557 +/- 6.84e-33],ff8b7cdc2f -28 0 0,0.998222163921128,0.019554255,0.136327629,0.016779589,5.548335159,2,0,0.02628452,100
[-0.02488 +/- 7.51e-6],-65e9e1b16ba5e4872b020c49b -68 346dc5db -2f,1.00000000000000000000000000000,1 0 0 0,true,true,true,[1.5280 +/- 4.10e-5],61ca736b -1e 17a7c001 -2c,1.5280041787774,[+/- 5.17e-7],55f56abf8460e3e5c89d6909 -74 d317b5b -32,5.16816281219047e-7,[0.99 +/- 5.03e-3],7f4b23eb -1f 11ff1d -1f,[0.998222686653207347262650728226 +/- 2.93e-31],ff8b85a14d -28 0 0,0.998222686653208,0.019818497,0.137437366,0.01700164,5.462512672,2,0,0.026165714,100
