α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.999800 +/- 2.00e-7],-fff2e2e10b8115a1cac083125 -64 1ad7f29d -34,[0.999899950000101051195144918892 +/- 3.84e-31],7ffcb8b842e0456872b020c49 -63 0 0,true,true,true,[1.787 +/- 3.68e-4],7259ceab -1e 19db5001 -2a,1.78683003783249,[+/- 4.14e-4],1b1566d5 -29 1b1566d5 -29,0.000413262944675808,[0.93 +/- 2.00e-3],7732ba45 -1f c64ee83 -26,[0.945651824091328307986259460449 +/- 2.19e-31],790b1e74f -23 0 0,0.945651824091329,114.575355803,1069.411745745,26.124696214,1075.502703595,2899,4,46.364795699,100
[-0.999800 +/- 4.00e-7],-3ffcb7e1834b68395810624dd -62 35afe539 -35,[0.999899850000100848923523244593 +/- 2.36e-31],7ffcb7e1834b68395810624dd -63 0 0,true,true,true,[1.787 +/- 3.50e-4],725a1abf -1e 19d4f001 -2a,1.78684808127605,[+/- 4.10e-4],35b89b6d -2a 35b89b6d -2a,0.000409859631417931,[0.93 +/- 2.01e-3],ee660a3 -1c c646d03 -26,[0.945875798177439719438552856445 +/- 3.13e-31],3c893aa4d -22 0 0,0.94587579817744,110.550836569,1034.810192853,25.193870227,1004.265246455,2896,4,46.160905451,100
[-0.999800 +/- 6.00e-7],-7ff96e15876d16147ae147ae1 -63 35afe539 -35,[0.999899750000100646651901570294 +/- 6.44e-32],fff96e15876d16147ae147ae1 -64 0 0,true,true,true,[1.787 +/- 3.46e-4],392d13b1 -1d 19ce4001 -2a,1.78685099445307,[+/- 4.09e-4],357d80df -2a 357d80df -2a,0.000408098203024565,[0.93 +/- 2.01e-3],1dccca0b -1d c63e903 -26,[0.945992182416375726461410522461 +/- 6.25e-32],3c8b22cb7 -22 0 0,0.945992182416376,113.597370276,1062.025007008,25.694511251,1017.788232131,2893,4,46.118424054,100
[-0.999799 +/- 4.01e-7],-fff2d8d01086b76c8b439581 -60 35afe539 -35,[0.999899650000100444380279895995 +/- 1.07e-31],1fff2d8d01086b76c8b439581 -61 0 0,true,true,true,[1.787 +/- 3.64e-4],392cee85 -1d 19c7a001 -2a,1.78683317080163,[+/- 4.12e-4],35ef038d -2a 35ef038d -2a,0.000411481078572252,[0.93 +/- 2.00e-3],7732cfc9 -1f c635583 -26,[0.945769069658126682043075561523 +/- 4.38e-31],3c877afdf -22 0 0,0.945769069658127,111.111688455,1037.989068997,25.318301909,1017.944552975,2890,4,45.805961726,100
[-0.999799 +/- 2.01e-7],-7ff96aba8919a15810624dd2f -63 35afe539 -35,[0.999899550000100242108658221696 +/- 2.78e-31],fff96aba8919a15810624dd2f -64 0 0,true,true,true,[1.787 +/- 3.55e-4],e4b4077 -1b 19c12001 -2a,1.78684229590022,[+/- 4.10e-4],1ad89eeb -29 1ad89eeb -29,0.000409640119869437,[0.93 +/- 2.00e-3],7732f851 -1f c62d483 -26,[0.945890381524804979562759399414 +/- 6.25e-32],3c8977cf9 -22 0 0,0.945890381524805,114.406540691,1069.694241104,25.934784038,1034.840482078,2887,4,45.874240757,100
[-0.999799 +/- 2.00e-7],-fff2d21a13dfcdf3b645a1cab -64 1ad7f29d -34,[0.999899450000100039837036547396 +/- 2.37e-31],fff9690d09efe6f9db22d0e55 -64 0 0,true,true,true,[1.787 +/- 3.62e-4],7259e5f3 -1e 19ba9001 -2a,1.78683510050201,[+/- 4.11e-4],1ae895db -29 1ae895db -29,0.000410591684158135,[0.93 +/- 2.00e-3],7732d9e7 -1f c624783 -26,[0.945827680727234110236167907715 +/- 1.57e-31],7910e1a63 -23 0 0,0.945827680727235,112.23259487,1052.05901228,25.715809306,1025.94534475,2884,4,45.698593227,100
[-0.999799 +/- 4.01e-7],-fff2cebf158c59374bc6a7ef9 -64 35afe539 -35,[0.999899350000099837565414873097 +/- 4.08e-31],3ffe59d7e2b18b26e978d4fdf -62 0 0,true,true,true,[1.787 +/- 3.59e-4],7259f26b -1e 19b41001 -2a,1.78683797642612,[+/- 4.10e-4],35aa29d9 -2a 35aa29d9 -2a,0.000409429176670529,[0.93 +/- 2.00e-3],7732ee8f -1f c61c183 -26,[0.945904380496358498930931091309 +/- 4.07e-31],7913650db -23 0 0,0.945904380496359,113.268142363,1058.294313515,25.477490043,1024.733178953,2881,4,45.651485761,100
[-0.999799 +/- 6.01e-7],-fff2cb641738e47ae147ae147 -64 35afe539 -35,[0.999899250000099635293793198797 +/- 4.22e-31],fff965b20b9c723d70a3d70a3 -64 0 0,true,true,true,[1.787 +/- 3.63e-4],392cf0c7 -1d 19ad8001 -2a,1.78683385811769,[+/- 4.10e-4],1ad4be71 -29 1ad4be71 -29,0.000409409040912579,[0.93 +/- 2.00e-3],7732ea65 -1f c613983 -26,[0.945905773056438192725181579590 +/- 1.57e-31],791370bc3 -23 0 0,0.945905773056439,110.424758719,1034.400569475,24.970899022,1000.519246744,2878,4,45.362170584,100
[-0.999798 +/- 4.01e-7],-fff2c80918e56fbe76c8b4395 -64 35afe539 -35,[0.999899150000099433022171524498 +/- 2.52e-31],7ffcb20246395bef9db22d0e5 -63 0 0,true,true,true,[1.787 +/- 3.62e-4],7259e2c1 -1e 19a6f001 -2a,1.78683404624485,[+/- 4.09e-4],35912be5 -2a 35912be5 -2a,0.000408684356898448,[0.93 +/- 2.00e-3],ee65c27 -1c c60b303 -26,[0.945953666785499081015586853027 +/- 3.44e-31],7915027f3 -23 0 0,0.9459536667855,113.182419715,1065.123305948,25.659563379,1021.476914124,2876,4,45.330157055,100
[-0.999798 +/- 2.01e-7],-fff2c4ae1a91fb020c49ba5e3 -64 35afe539 -35,[0.999899050000099230750549850199 +/- 8.07e-32],fff962570d48fd810624dd2f1 -64 0 0,true,true,true,[1.787 +/- 3.59e-4],7259ed91 -1e 19a09001 -2a,1.78683652915084,[+/- 4.10e-4],1ad377b7 -29 1ad377b7 -29,0.000409332968956733,[0.93 +/- 2.00e-3],1dccb365 -1d c602903 -26,[0.945910758513491600751876831055 +/- 3.13e-31],3c89cd473 -22 0 0,0.945910758513492,110.428178301,1034.448714417,25.044357028,1000.599966617,2873,4,45.218682806,100
[-0.999798 +/- 2.01e-7],-fff2c1531c3e8645a1cac0831 -64 35afe539 -35,[0.999898950000099028478928175900 +/- 9.02e-32],1fff2c1531c3e8645a1cac083 -61 0 0,true,true,true,[1.787 +/- 3.66e-4],392ce7e7 -1d 199a0001 -2a,1.78682933561527,[+/- 4.10e-4],35b0ed6b -2a 35b0ed6b -2a,0.000409630757985724,[0.93 +/- 2.00e-3],3b995f39 -1e c5fa103 -26,[0.945891196082811802625656127930 +/- 3.13e-31],3c897b3a3 -22 0 0,0.945891196082812,112.536985837,1050.094340397,25.239737716,1017.560409481,2870,4,45.189584362,100
[-0.999798 +/- 4.01e-7],-7ff95efc0ef588c49ba5e353f -63 1ad7f29d -34,[0.999898850000098826207306501601 +/- 2.61e-31],fff95efc0ef588c49ba5e353f -64 0 0,true,true,true,[1.787 +/- 3.52e-4],725a0bf7 -1e 1993b001 -2a,1.78684358485066,[+/- 4.08e-4],1aaf0f55 -29 1aaf0f55 -29,0.000407162898227398,[0.93 +/- 2.00e-3],7732f6af -1f c5f2083 -26,[0.946054219006327912211418151855 +/- 4.69e-31],79184dfd7 -23 0 0,0.946054219006328,109.720716369,1034.39385336,24.995631545,976.83281754,2867,4,44.906648257,100
[-0.999798 +/- 6.01e-7],-3ffcaea747e5e733333333333 -62 35afe539 -35,[0.999898750000098623935684827302 +/- 4.32e-31],7ffcaea747e5e733333333333 -63 0 0,true,true,true,[1.787 +/- 3.57e-4],1c967dd9 -1c 198d2001 -2a,1.78683858178579,[+/- 4.09e-4],357c496b -2a 357c496b -2a,0.000408061945108785,[0.93 +/- 2.00e-3],3b9970ab -1e c5e9603 -26,[0.945994769281242042779922485352 +/- 4.38e-31],3c8b2da51 -22 0 0,0.945994769281242,113.539004855,1056.848468764,25.431159631,1008.691627396,2864,4,44.905504212,100
[-0.999797 +/- 4.01e-7],-7ff95ba110a214083126e978d -63 35afe539 -35,[0.999898650000098421664063153002 +/- 3.98e-31],fff95ba110a214083126e978d -64 0 0,true,true,true,[1.787 +/- 3.56e-4],392cfd79 -1d 1986c001 -2a,1.78683933429443,[+/- 4.08e-4],35601413 -2a 35601413 -2a,0.000407221270052105,[0.93 +/- 2.00e-3],7732e843 -1f c5e1183 -26,[0.946050416387151926755905151367 +/- 1.88e-31],3c8c170bb -22 0 0,0.946050416387152,109.962753636,1029.485018489,24.781646918,974.355345435,2861,4,44.700322122,100
[-0.999797 +/- 2.01e-7],-1ffe567ce45e166a7ef9db22d -61 35afe539 -35,[0.999898550000098219392441478703 +/- 2.28e-31],3ffe567ce45e166a7ef9db22d -62 0 0,true,true,true,[1.787 +/- 3.48e-4],725a1c93 -1e 19807001 -2a,1.7868472579869,[+/- 4.05e-4],d41baaf -28 d41baaf -28,0.000404564050768386,[0.93 +/- 2.01e-3],7733107d -1f c5d9183 -26,[0.946226602391107007861137390137 +/- 2.82e-31],791df40bf -23 0 0,0.946226602391107,112.49893457,1052.703333922,25.381427729,967.552628724,2859,4,44.632221337,100
[-0.999797 +/- 2.01e-7],-7ff95846124e9f4bc6a7ef9db -63 35afe539 -35,[0.999898450000098017120819804404 +/- 5.65e-32],fff95846124e9f4bc6a7ef9db -64 0 0,true,true,true,[1.787 +/- 3.49e-4],392d0b3d -1d 1979e001 -2a,1.78684570640349,[+/- 4.05e-4],3512d93f -2a 3512d93f -2a,0.000404919642733149,[0.93 +/- 2.00e-3],77330361 -1f c5d0a83 -26,[0.946202998835360631346702575684 +/- 4.07e-31],791d2e0bb -23 0 0,0.946202998835361,111.09364154,1041.757377673,25.484102632,961.930101221,2856,4,44.388451761,100
[-0.999797 +/- 4.01e-7],-3ffcab4c49927276c8b439581 -62 35afe539 -35,[0.999898350000097814849198130105 +/- 1.15e-31],7ffcab4c49927276c8b439581 -63 0 0,true,true,true,[1.787 +/- 3.52e-4],392d041b -1d 19738001 -2a,1.78684221021854,[+/- 4.05e-4],6a213c7 -27 6a213c7 -27,0.000404853166401154,[0.93 +/- 2.00e-3],3b9981af -1e c5c8603 -26,[0.946207467641215771436691284180 +/- 3.13e-31],3c8ea9c43 -22 0 0,0.946207467641216,112.675005182,1057.504405232,25.675715805,975.607078338,2853,4,44.36460194,100
[-0.999797 +/- 6.01e-7],-fff2a9d627f6551eb851eb851 -64 1ad7f29d -34,[0.999898250000097612577576455805 +/- 7.39e-32],1fff2a9d627f6551eb851eb85 -61 0 0,true,true,true,[1.787 +/- 3.54e-4],7259ff83 -1e 196d1001 -2a,1.78684004023694,[+/- 4.05e-4],3508b36f -2a 3508b36f -2a,0.000404617217554915,[0.93 +/- 2.00e-3],77330209 -1f c5c0083 -26,[0.946223177772480994462966918945 +/- 3.13e-31],3c8eeba8d -22 0 0,0.946223177772481,109.900289581,1024.863618357,24.698752213,939.064553468,2850,4,44.23960706,100
[-0.999796 +/- 4.01e-7],-fff2a67b29a2e0624dd2f1a9f -64 35afe539 -35,[0.999898150000097410305954781506 +/- 2.45e-31],fff9533d94d1703126e978d4f -64 0 0,true,true,true,[1.787 +/- 3.59e-4],7259ead7 -1e 1966b001 -2a,1.78683501668298,[+/- 4.06e-4],352c2f2f -2a 352c2f2f -2a,0.00040567470523456,[0.93 +/- 2.00e-3],3b9971ff -1e c5b7703 -26,[0.946153025084640830755233764648 +/- 4.38e-31],3c8dc56af -22 0 0,0.946153025084641,111.579461732,1042.534651307,25.38421093,975.787651423,2847,4,44.196105267,100
[-0.999796 +/- 2.01e-7],-fff2a3202b4f6ba5e353f7ced -64 35afe539 -35,[0.999898050000097208034333107207 +/- 4.16e-31],7ffca8c80ad3dae978d4fdf3b -63 0 0,true,true,true,[1.787 +/- 3.43e-4],392d16a5 -1d 19608001 -2a,1.78685076721036,[+/- 4.03e-4],34b3646d -2a 34b3646d -2a,0.000402074822432042,[0.93 +/- 2.01e-3],7733275d -1f c5afa83 -26,[0.946392235171515494585037231445 +/- 3.13e-31],3c91b0bcd -22 0 0,0.946392235171516,108.679001544,1010.649962255,25.059746035,877.806263238,2845,4,44.102811189,100
