α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.700 +/- 1.01e-4],-b32fec5748e55ddb22d0e5603 -64 1a36e2ed -2b,[0.849975000052334491273953176459 +/- 2.28e-31],d997f62ba472aeed916872b01 -64 0 0,true,true,true,[0.906 +/- 6.60e-4],74045b09 -1f 1218b201 -28,0.906659052708165,[+/- 1.10e-3],23e63d63 -28 23e63d63 -28,0.00109556195639016,[0.92 +/- 2.11e-3],1d68c1c7 -1d 259a800b -27,[0.936966623063199222087860107422 +/- 1.25e-31],1dfba16d7 -21 0 0,0.9369666230632,0.074664344,1.730832296,4.762098746,121.583280693,11,16,0.064777598,100
[-0.700 +/- 2.01e-4],-2cca57a7a378d4645a1cac083 -62 1a36e2ed -2b,[0.849925000052229717484308935127 +/- 6.72e-32],6cca57a7a378d4645a1cac083 -63 0 0,true,true,true,[0.906 +/- 6.19e-4],1d00c2d -19 12167401 -28,0.906618890353457,[+/- 1.08e-3],23439265 -28 23439265 -28,0.00107617042704078,[0.92 +/- 2.12e-3],3ad16983 -1e 25967e0b -27,[0.937528345239115878939628601074 +/- 2.19e-31],7800edc6f -23 0 0,0.937528345239116,0.048437222,0.962399222,4.820928716,112.685606644,7,16,0.064452912,100
[-0.700 +/- 3.01e-4],-2cc8b43974b85151eb851eb85 -62 1a36e2ed -2b,[0.849875000052124943694664693794 +/- 1.51e-31],6cc8b43974b85151eb851eb85 -63 0 0,true,true,true,[0.906 +/- 5.85e-4],7401e835 -1f 12146201 -28,0.906584071927683,[+/- 1.08e-3],4632e0b -25 4632e0b -25,0.00107114778074902,[0.92 +/- 2.12e-3],1d68b551 -1d 2596820b -27,[0.937675494758877903223037719727 +/- 4.38e-31],3c02e0141 -22 0 0,0.937675494758878,0.049540426,0.842614191,4.920239051,113.315795702,7,16,0.064556358,100
[-0.700 +/- 4.01e-4],-2cc710cb45f7ce3f7ced91687 -62 1a36e2ed -2b,[0.849825000052020169905020452461 +/- 2.35e-31],6cc710cb45f7ce3f7ced91687 -63 0 0,true,true,true,[0.906 +/- 5.53e-4],7400e325 -1f 12125a01 -28,0.906552829780594,[+/- 9.24e-4],1e416247 -28 1e416247 -28,0.000923321711525205,[0.92 +/- 2.12e-3],75a2fbf3 -1f 25968f0b -27,[0.942136700788978487253189086914 +/- 6.25e-32],3c4bf7bb9 -22 0 0,0.942136700788979,0.050099467,0.83715546,4.793082418,101.36141975,7,16,0.065658039,100
[-0.700 +/- 5.01e-4],-2cc56d5d17374b2d0e5604189 -62 1a36e2ed -2b,[0.849775000051915396115376211128 +/- 3.18e-31],6cc56d5d17374b2d0e5604189 -63 0 0,true,true,true,[0.906 +/- 5.35e-4],7400494b -1f 12109601 -28,0.906534384005682,[+/- 1.09e-3],11bff129 -27 11bff129 -27,0.00108336020275602,[0.92 +/- 2.10e-3],3ad1d1ed -1e 259c7e0b -27,[0.937322930607479065656661987305 +/- 3.13e-31],3bfd19513 -22 0 0,0.93732293060748,0.07359288,1.632910525,4.817554139,122.891335277,11,16,0.064424177,100
[-0.699 +/- 5.01e-4],-2cc3c9eee876c81a9fbe76c8b -62 346dc5db -2c,[0.849725000051810622325731969795 +/- 4.02e-31],6cc3c9eee876c81a9fbe76c8b -63 0 0,true,true,true,[0.906 +/- 4.90e-4],73fed435 -1f 120e7201 -28,0.906489781104938,[+/- 9.24e-4],3c8dd5c9 -29 3c8dd5c9 -29,0.000923981374398864,[0.92 +/- 2.11e-3],eb4686d -1c 259d8a0b -27,[0.942118047241820022463798522949 +/- 2.19e-31],789752fcf -23 0 0,0.94211804724182,0.077894727,1.262087526,4.710574686,100.49154256,11,16,0.064491856,100
[-0.699 +/- 4.01e-4],-b3089a02e6d91420c49ba5e35 -64 1a36e2ed -2b,[0.849675000051705848536087728462 +/- 4.85e-31],6cc22680b9b645083126e978d -63 0 0,true,true,true,[0.906 +/- 4.59e-4],73fdd245 -1f 120c4a01 -28,0.906458904036299,[+/- 9.23e-4],3c7b3683 -29 3c7b3683 -29,0.000922871407055937,[0.92 +/- 2.10e-3],1d68db73 -1d 2596be0b -27,[0.942153809330193325877189636230 +/- 4.69e-31],78987efb7 -23 0 0,0.942153809330194,0.049479601,0.838938524,4.920194436,101.011187884,7,16,0.064755746,100
[-0.699 +/- 3.01e-4],-b3020c4a2bd707d70a3d70a3d -64 1a36e2ed -2b,[0.849625000051601074746443487128 +/- 4.32e-31],6cc083128af5c1f5c28f5c28f -63 0 0,true,true,true,[0.906 +/- 4.28e-4],e7f999b -1c 120a4801 -28,0.906427619979695,[+/- 9.23e-4],3c7832b3 -29 3c7832b3 -29,0.000922691705454782,[0.92 +/- 2.10e-3],75a393f1 -1f 2596cd0b -27,[0.942160439619328826665878295898 +/- 4.38e-31],3c4c5b4cf -22 0 0,0.942160439619329,0.049238011,0.879769427,4.729550705,100.066370285,7,16,0.065601242,100
[-0.699 +/- 2.01e-4],-b2fb7e9170d4fb8d4fdf3b645 -64 1a36e2ed -2b,[0.849575000051496300956799245795 +/- 3.49e-31],6cbedfa45c353ee353f7ced91 -63 0 0,true,true,true,[0.906 +/- 3.87e-4],73fb73fb -1f 12082201 -28,0.906386381016091,[+/- 1.10e-3],23bef4a7 -28 23bef4a7 -28,0.00109087892451499,[0.92 +/- 2.11e-3],3ad1aa5 -1a 2596ee0b -27,[0.937110945757012814283370971680 +/- 3.13e-31],3bf9a0303 -22 0 0,0.937110945757013,0.049661465,0.93254843,4.917727084,122.583362743,6,16,0.063822885,100
[-0.699 +/- 1.01e-4],-b2f4f0d8b5d2ef4395810624d -64 1a36e2ed -2b,[0.849525000051391527167155004462 +/- 2.65e-31],6cbd3c362d74bbd0e56041893 -63 0 0,true,true,true,[0.906 +/- 3.59e-4],39fd46bf -1e 12062c01 -28,0.906358787790851,[+/- 9.37e-4],f566b1b -27 f566b1b -27,0.000936131091293646,[0.92 +/- 2.10e-3],75a3a051 -1f 2597570b -27,[0.941742946102749556303024291992 +/- 1.88e-31],3c458434b -22 0 0,0.94174294610275,0.062524301,1.218571286,4.736679947,112.012755523,9,16,0.065599297,100
