α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.99600 +/- 3.00e-6],-fef9c1f85fc9ba04189374bc5 -64 192a7373 -30,[0.997999250001061225079368455225 +/- 3.11e-31],7fbe707e17f26e810624dd2f1 -63 0 0,true,true,true,[1.784 +/- 3.48e-4],7228a055 -1e 14265001 -2a,1.78380649723136,[+/- 2.13e-4],f5ad267b028edd7fe1e3cfa21 -71 18e93e17 -2a,0.000212175940390864,[0.931 +/- 8.29e-4],772f31e9 -1f b7ccf83 -26,[0.961090817872900515794754028320 +/- 3.13e-31],3d82830fd -22 0 0,0.961090817872901,1.102798872,41.398107689,9.79417519,148.086020329,145,4,2.899411328,100
[-0.99600 +/- 6.00e-6],-fef98fa378e6660c49ba5e353 -64 192a7373 -30,[0.997997750001059100499745113665 +/- 2.19e-31],ff7cc7d1bc73330624dd2f1a9 -64 0 0,true,true,true,[1.784 +/- 3.32e-4],7228e267 -1e 1422b001 -2a,1.78382219560468,[+/- 2.17e-4],feffca5e029b116f752e84c19 -71 31f62c1d -2b,0.00021688729481213,[0.931 +/- 8.39e-4],1dcbe0ef -1d b7c8f03 -26,[0.960661028686445206403732299805 +/- 3.13e-31],3d7b78653 -22 0 0,0.960661028686446,1.082282628,40.689019326,9.672820225,146.061978887,145,4,2.883282504,100
[-0.99599 +/- 4.01e-6],-7f7caea74901890a3d70a3d7 -5f 192a7373 -30,[0.997996250001056975920121772105 +/- 1.27e-31],ff7caea74901890a3d70a3d7 -60 0 0,true,true,true,[1.7836 +/- 8.44e-5],e44cc1 -17 141e0001 -2a,1.78366908431076,[+/- 2.00e-4],e0482dc9ee562b05f9f1a7a11 -71 30c95c6d -2b,0.000199998958064811,[0.931 +/- 7.57e-4],772cd4f1 -1f b7bef83 -26,[0.962225286668399348855018615723 +/- 3.44e-31],7b2a32bcd -23 0 0,0.9622252866684,1.08129909,33.258195811,10.225427103,146.199909951,144,4,2.849405193,100
[-0.99599 +/- 2.00e-6],-7f7c957cd58fdf0e560418937 -63 3254e6e5 -31,[0.997994750001054851340498430545 +/- 3.37e-32],ff7c957cd58fdf0e560418937 -64 0 0,true,true,true,[1.7836 +/- 8.51e-5],7226a3b7 -1e 141a7001 -2a,1.78368505649292,[+/- 2.00e-4],1bb761846915c21f2e1ccb551 -6e 316c830b -2b,0.000199997974484743,[0.931 +/- 7.67e-4],3b9693fb -1e b7bb003 -26,[0.962225210416363552212715148926 +/- 2.19e-31],7b2a32191 -23 0 0,0.962225210416364,1.071284267,32.615811482,10.2650612,144.506927898,144,4,2.887560597,100
[-0.99599 +/- 5.00e-6],-fef8f8a4c43c6a24dd2f1a9fb -64 192a7373 -30,[0.997993250001052726760875088984 +/- 1.53e-31],ff7c7c52621e35126e978d4fd -64 0 0,true,true,true,[1.784 +/- 4.53e-4],7226e69f -1e 1416d001 -2a,1.78370095416927,[+/- 2.00e-4],6db1732b721377573c34657c7 -70 19011a95 -2a,0.000199995432890638,[0.931 +/- 7.80e-4],3b96bd5d -1e b875803 -26,[0.962225282099097967147827148438 +/- 5.00e-31],7b2a32b3 -1f 0 0,0.962225282099098,1.065646956,33.352763382,10.183297281,144.366141104,144,4,2.863632977,100
[-0.99598 +/- 5.01e-6],-1fdf18c9fbab22c5a1cac0831 -61 192a7373 -30,[0.997991750001050602181251747424 +/- 6.01e-32],3fdf18c9fbab22c5a1cac0831 -62 0 0,true,true,true,[1.784 +/- 4.37e-4],7227295f -1e 14135001 -2a,1.78371681645536,[+/- 2.01e-4],365a48161c01cb01b00cca393 -6f 32814095 -2b,0.000199999912537056,[0.931 +/- 7.89e-4],ee5b9a9 -1c b871703 -26,[0.962224691058509051799774169922 +/- 1.25e-31],1eca8b6f7 -21 0 0,0.962224691058509,1.065597753,33.859756314,10.100926084,143.573941138,144,4,2.875941353,100
[-0.99598 +/- 2.01e-6],-7f7c49fd7b3ae11a9fbe76c8b -63 3254e6e5 -31,[0.997990250001048477601628405864 +/- 3.25e-32],ff7c49fd7b3ae11a9fbe76c8b -64 0 0,true,true,true,[1.784 +/- 4.21e-4],1c89db05 -1c 140fa001 -2a,1.78373266570293,[+/- 2.00e-4],6df38a1eb94891c0ba22ef2f1 -70 18f09847 -2a,0.000199995632711067,[0.931 +/- 7.99e-4],1dcb87f -19 b86d303 -26,[0.962224927439820021390914916992 +/- 1.88e-31],3d9517dcb -22 0 0,0.96222492743982,1.077394543,36.360908809,9.845358469,143.759792037,144,4,2.844935639,100
[-0.99598 +/- 4.00e-6],-fef861a60f926e3d70a3d70a3 -64 192a7373 -30,[0.997988750001046353022005064303 +/- 8.64e-32],ff7c30d307c9371eb851eb851 -64 0 0,true,true,true,[1.784 +/- 4.05e-4],3913d73 -19 140c2001 -2a,1.78374841995561,[+/- 2.00e-4],e3656e13d4571bcbf4a8973fd -71 30022ad7 -2b,0.00019999984533085,[0.931 +/- 8.09e-4],3b9738e1 -1e b869203 -26,[0.962224362767301499843597412109 +/- 3.75e-31],1eca8abf3 -21 0 0,0.962224362767302,1.071542647,40.919361998,9.717424453,144.179023443,144,4,2.851759563,100
[-0.99597 +/- 6.01e-6],-fef82f5128af1a45a1cac083 -60 192a7373 -30,[0.997987250001044228442381722743 +/- 6.07e-33],1fef82f5128af1a45a1cac083 -61 0 0,true,true,true,[1.7837 +/- 8.87e-5],7227f08f -1e 14089001 -2a,1.7837641462686,[+/- 2.02e-4],e990b8314898c74c4b30e7f29 -71 2f6d6385 -2b,0.000201833014366559,[0.931 +/- 8.19e-4],1dcbb0ed -1d b865103 -26,[0.962051467504352331161499023438 +/- 5.00e-31],7b2480a3 -1f 0 0,0.962051467504353,1.081755312,45.506727737,9.744027328,143.525328874,144,4,2.821655763,100
[-0.99597 +/- 3.01e-6],-7f7bfe7e20e5e326e978d4fdf -63 3254e6e5 -31,[0.997985750001042103862758381183 +/- 9.85e-32],ff7bfe7e20e5e326e978d4fdf -64 0 0,true,true,true,[1.7837 +/- 7.98e-5],72283261 -1e 1404f001 -2a,1.78377978503727,[+/- 2.07e-4],f293d86c0f61e65b1d5d351cf -71 17c27aaf -2a,0.000206305979306197,[0.931 +/- 8.28e-4],3b978aa3 -1e b861003 -26,[0.961633101571351289749145507813 +/- 5.00e-31],7b16cb21 -1f 0 0,0.961633101571352,1.083718712,49.857606543,10.086607702,145.496671033,144,4,2.887098344,100
