α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.99300 +/- 3.00e-6],-fe3526527c75c204189374bc5 -64 192a7373 -30,[0.996499250001061223747100825675 +/- 1.24e-31],7f8d49949f1d70810624dd2f1 -63 0 0,true,true,true,[1.7814 +/- 5.23e-5],720256e3 -1e 17a32001 -2b,1.78143787011516,[+/- 2.00e-4],400777143b9ac1fd175558e9f -6f a34e765 -29,0.000199996536165694,[0.931 +/- 7.29e-4],ee59f8d -1c af1de03 -26,[0.962249149073613807559013366699 +/- 2.19e-31],7b2afae8f -23 0 0,0.962249149073614,0.622767178,16.349303589,9.802806494,137.355116242,83,4,1.086165331,100
[-0.99300 +/- 6.00e-6],-fe34f3fd95926e0c49ba5e353 -64 192a7373 -30,[0.996497750001059099167477484115 +/- 3.07e-32],ff1a79fecac9370624dd2f1a9 -64 0 0,true,true,true,[1.7814 +/- 4.59e-5],7202787b -1e 17a0e001 -2b,1.7814458627255,[+/- 2.00e-4],1026ce09def859fe630295649 -6d 141f3581 -2a,0.000199985782442572,[0.931 +/- 7.34e-4],772d2aff -1f af1c683 -26,[0.962250079348450526595115661621 +/- 9.38e-32],7b2b02b6b -23 0 0,0.962250079348451,0.627198872,15.646534498,9.761289334,135.298771804,83,4,1.081733968,100
[-0.99299 +/- 4.01e-6],-7f1a60d457578d0a3d70a3d7 -5f 192a7373 -30,[0.996496250001056974587854142555 +/- 6.18e-32],ff1a60d457578d0a3d70a3d7 -60 0 0,true,true,true,[1.7814 +/- 5.39e-5],720299f7 -1e 179ea001 -2b,1.7814538292588,[+/- 2.00e-4],866d13f843fce423955281839 -70 12d27e8f -2a,0.000199999866951293,[0.931 +/- 7.40e-4],1dcb565d -1d af1af03 -26,[0.962248665600782260298728942871 +/- 9.38e-32],7b2af6dab -23 0 0,0.962248665600783,0.619023756,16.389030348,9.908026745,136.190028806,83,4,1.076324708,100
[-0.99299 +/- 2.00e-6],-7f1a47a9e3e5e30e560418937 -63 3254e6e5 -31,[0.996494750001054850008230800995 +/- 1.55e-31],ff1a47a9e3e5e30e560418937 -64 0 0,true,true,true,[1.7814 +/- 6.19e-5],39015dc1 -1d 179c0001 -2b,1.78146180696797,[+/- 2.00e-4],44855d4aa5d2973bc8456e319 -6f 122afe37 -2a,0.000199998546196156,[0.931 +/- 7.45e-4],3b96c3fd -1e af19903 -26,[0.962248705734964460134506225586 +/- 6.25e-32],3d957b987 -22 0 0,0.962248705734965,0.618224475,17.334675905,9.673645852,135.484457879,83,4,1.085965023,100
[-0.99299 +/- 5.00e-6],-fe345cfee0e87224dd2f1a9fb -64 192a7373 -30,[0.996493250001052725428607459434 +/- 3.55e-32],ff1a2e7f707439126e978d4fd -64 0 0,true,true,true,[1.7814 +/- 6.98e-5],7202dce7 -1e 1799e001 -2b,1.78146975301218,[+/- 2.00e-4],8a6a77e10c131d1e389b29129 -70 23a611a1 -2b,0.000199998192502288,[0.931 +/- 7.51e-4],1dcb6d97 -1d af18103 -26,[0.962248654948780313134193420410 +/- 1.57e-31],7b2af6c3d -23 0 0,0.962248654948781,0.614485271,17.261256267,9.550137458,135.03149247,83,4,1.096362666,100
[-0.99298 +/- 5.01e-6],-1fc685553f40a3c5a1cac0831 -61 192a7373 -30,[0.996491750001050600848984117874 +/- 1.28e-31],3fc685553f40a3c5a1cac0831 -62 0 0,true,true,true,[1.7814 +/- 7.77e-5],1c80bf91 -1c 17974001 -2b,1.78147768788052,[+/- 2.00e-4],8bb7e9ed684b38e10f661c363 -70 22ff78ad -2b,0.000199999125891702,[0.931 +/- 7.56e-4],772de4ab -1f af16b83 -26,0.962248482741415500640869140625,3d957aa9 -1e 0 0,0.962248482741416,0.611648732,17.6248549,9.456078436,134.73794442,83,4,1.118457152,100
[-0.99298 +/- 2.01e-6],-7f19fc2a8990e51a9fbe76c8b -63 3254e6e5 -31,[0.996490250001048476269360776314 +/- 2.21e-31],ff19fc2a8990e51a9fbe76c8b -64 0 0,true,true,true,[1.7814 +/- 8.56e-5],39018fc1 -1d 17950001 -2b,1.78148559667182,[+/- 2.00e-4],8d08ffd4627a5ccdafdbe401b -70 2256baed -2b,0.00019999764744993,[0.931 +/- 7.62e-4],772e12dd -1f af15583 -26,[0.962248538460698910057544708252 +/- 4.69e-32],f655eb935 -24 0 0,0.962248538460699,0.638603951,17.855923244,9.486006031,135.456831883,83,4,1.079446325,100
[-0.99298 +/- 4.00e-6],-fe33c6002c3e763d70a3d70a3 -64 192a7373 -30,[0.996488750001046351689737434753 +/- 1.02e-31],ff19e300161f3b1eb851eb851 -64 0 0,true,true,true,[1.7812 +/- 9.26e-5],1c7f99a1 -1c 1790c001 -2b,1.78119731880736,[+/- 2.00e-4],f3a1f19c0b366087ae5961df -6d 2bf2accb -2b,0.000199997133905862,[0.931 +/- 7.30e-4],7728fb61 -1f af0a283 -26,[0.962251641496550291776657104492 +/- 1.88e-31],3d9587e8b -22 0 0,0.962251641496551,0.611169025,16.117366775,9.821965933,135.549626069,82,4,1.114446433,100
[-0.99297 +/- 6.01e-6],-fe3393ab455b2245a1cac083 -60 192a7373 -30,[0.996487250001044227110114093193 +/- 1.94e-31],1fe3393ab455b2245a1cac083 -61 0 0,true,true,true,[1.7812 +/- 8.44e-5],71fe88fb -1e 178e2001 -2b,1.78120551630866,[+/- 2.00e-4],79142fdc1570fab91863c1757 -70 1628a93f -2a,0.000199999032252195,[0.931 +/- 7.24e-4],77292ae7 -1f af08c83 -26,[0.962251375487539917230606079102 +/- 4.38e-31],3d9586cb1 -22 0 0,0.96225137548754,0.6285531,15.812079273,9.800992748,134.956484004,82,4,1.073553983,100
[-0.99297 +/- 3.01e-6],-7f19b0ab2f3be726e978d4fdf -63 3254e6e5 -31,[0.996485750001042102530490751633 +/- 2.87e-31],ff19b0ab2f3be726e978d4fdf -64 0 0,true,true,true,[1.7812 +/- 7.62e-5],71feab61 -1e 178be001 -2b,1.78121370077145,[+/- 2.00e-4],f0ad584a1df24c114f2ca89d9 -71 1657a26b -2a,0.000199992992808035,[0.931 +/- 7.19e-4],3b94ad2d -1e af07503 -26,[0.962251858727540820837020874023 +/- 4.38e-31],3d9588d1f -22 0 0,0.962251858727541,0.64417144,16.105289556,9.816997016,136.474654374,82,4,1.084460549,100
