α,α_dump,p,p_dump,proved,proved_estimate,proved_rounded,n₀,n₀_dump,n₀_rounded,δ₀,δ₀_dump,δ₀_rounded,D₀_estimate,D₀_estimate_dump,D₀,D₀_dump,D₀_rounded,n₀_time,δ₀_time,D₀_estimate_time,D₀_time,u0_N0,u0_N1,u0_time,prec
[-0.93500 +/- 4.38e-6],-ef5c0442b6c9bd16872b020c3 -64 92ccf6d -2e,[0.967498906272698169006574175909 +/- 1.11e-31],f7ae02215b64de8b439581061 -64 0 0,true,true,true,[0.993 +/- 3.76e-4],fe28857 -1c 17b61801 -29,0.992986707948603,[+/- 8.66e-4],e2efa9b -27 e2efa9b -27,0.000865692836669041,[0.92 +/- 1.53e-3],3adc5c7 -1a 280c740d -27,[0.941361380449961870908737182617 +/- 1.88e-31],3c3f43cdb -22 0 0,0.941361380449962,0.333311886,25.597470716,4.97871756,83.776678123,34,8,0.561026972,100
[-0.93499 +/- 5.63e-6],-ef5bbadc3b676f4395810624d -64 92ccf6d -2e,[0.967496718772692493759635112837 +/- 5.79e-33],7bd6eeb70ed9dbd0e56041893 -63 0 0,true,true,true,[0.993 +/- 3.84e-4],3f89fd85 -1e 17b53001 -29,0.992978136055627,[+/- 8.82e-4],e725449 -27 e725449 -27,0.000881750402186299,[0.92 +/- 1.52e-3],3adc7003 -1e 280c220d -27,[0.940820296731544658541679382324 +/- 2.19e-31],786cccaaf -23 0 0,0.940820296731545,0.458612329,23.770142038,4.714083463,82.352170734,33,8,0.547829913,100
[-0.93499 +/- 3.13e-6],-77adb8bae00290b851eb851eb -63 92ccf6d -2e,[0.967494531272686818512696049765 +/- 9.89e-32],f7adb8bae00290b851eb851eb -64 0 0,true,true,true,[0.993 +/- 3.84e-4],7f13f83d -1f 17b4ac01 -29,0.992977786809661,[+/- 8.71e-4],390ccf -21 390ccf -21,0.000870514428243041,[0.92 +/- 1.53e-3],75b8d599 -1f 283f4f0d -27,[0.941198573622386902570724487305 +/- 3.13e-31],3c3c98f13 -22 0 0,0.941198573622387,0.384249023,21.45892006,4.854699913,82.15228079,28,8,0.41520706,100
[-0.93498 +/- 6.88e-6],-ef5b280f44a2d39db22d0e55f -64 92ccf6d -2e,[0.967492343772681143265756986692 +/- 4.15e-31],f7ad9407a25169ced916872af -64 0 0,true,true,true,[0.993 +/- 3.78e-4],1fc50acd -1d 17b3e801 -29,0.992983839475074,[+/- 8.60e-4],709a5a3 -26 709a5a3 -26,0.000859092244354543,[0.92 +/- 1.54e-3],75b8ad07 -1f 2864690d -27,[0.941585441556526347994804382324 +/- 2.19e-31],7885df2af -23 0 0,0.941585441556527,0.45335767,33.176785721,5.134797452,80.857240276,48,8,0.525642467,100
[-0.93498 +/- 2.51e-6],-ef5adea8c94085cac083126e9 -64 24b33db3 -30,[0.967490156272675468018817923621 +/- 4.81e-31],3deb5bd5192810b95810624dd -62 0 0,true,true,true,[0.993 +/- 3.88e-4],3f89eedf -1e 17b2e001 -29,0.992974574678101,[+/- 9.05e-4],3b421601 -29 3b421601 -29,0.000904207584426331,[0.92 +/- 1.53e-3],3adc669b -1e 281de00d -27,[0.940071522782091051340103149414 +/- 6.25e-32],3c2a21bf9 -22 0 0,0.940071522782091,0.580306043,28.799221094,5.066681265,88.399241197,42,8,0.59188723,100
[-0.93498 +/- 6.25e-6],-77ad4aa126ef1bfbe76c8b439 -63 92ccf6d -2e,[0.967487968772669792771878860549 +/- 3.77e-31],f7ad4aa126ef1bfbe76c8b439 -64 0 0,true,true,true,[0.993 +/- 3.85e-4],7f13f3fd -1f 17b21c01 -29,0.992977203801729,[+/- 8.78e-4],e5fe33b -27 e5fe33b -27,0.000877353577379836,[0.92 +/- 1.53e-3],1d6e2bd5 -1d 2811cc0d -27,[0.940968057810096070170402526855 +/- 4.69e-31],7871a42d7 -23 0 0,0.940968057810097,0.427536608,31.890075594,5.164070821,83.767846043,45,8,0.613803547,100
[-0.93497 +/- 3.76e-6],-ef5a4bdbd27bea24dd2f1a9fb -64 92ccf6d -2e,[0.967485781272664117524939797476 +/- 6.03e-32],f7ad25ede93df5126e978d4fd -64 0 0,true,true,true,[0.993 +/- 3.93e-4],3f89d817 -1e 17b14001 -29,0.992969094776072,[+/- 8.81e-4],39b9b9ef -29 39b9b9ef -29,0.000880821126884257,[0.92 +/- 1.52e-3],75b8d39 -1b 280a0c0d -27,[0.940851758903590962290763854980 +/- 4.69e-31],786dd4977 -23 0 0,0.940851758903591,0.470628912,25.043006689,4.985865574,84.708687221,33,8,0.634326649,100
[-0.93497 +/- 5.00e-6],-3bd6809d55c667147ae147ae1 -62 92ccf6d -2e,[0.967483593772658442278000734404 +/- 4.44e-32],7bd6809d55c667147ae147ae1 -63 0 0,true,true,true,[0.993 +/- 3.88e-4],7f13db0d -1f 17b08c01 -29,0.992974184453943,[+/- 8.67e-4],719e6f9 -26 719e6f9 -26,0.000866843336552848,[0.92 +/- 1.53e-3],75b8a6a7 -1f 2809750d -27,[0.941322798316832631826400756836 +/- 6.25e-32],3c3ea1fa7 -22 0 0,0.941322798316833,0.32052075,24.456376632,4.935917545,82.765875699,33,8,0.580406685,100
[-0.93496 +/- 5.01e-6],-ef59b90edbb74e7ef9db22d0d -64 92ccf6d -2e,[0.967481406272652767031061671331 +/- 3.61e-31],7bd66e43b6edd39fbe76c8b43 -63 0 0,true,true,true,[0.993 +/- 3.96e-4],7f13927b -1f 17afa401 -29,0.992965506390192,[+/- 8.81e-4],39b8651d -29 39b8651d -29,0.000880741773471528,[0.92 +/- 1.52e-3],75b8ce67 -1f 2809370d -27,[0.940854530170327052474021911621 +/- 9.38e-32],786debd6b -23 0 0,0.940854530170327,0.455049042,23.68191405,4.803161712,83.437816542,32,8,0.494019392,100
[-0.93496 +/- 3.75e-6],-ef596fa8605500ac083126e97 -64 24b33db3 -30,[0.967479218772647091784122608259 +/- 4.65e-31],f7acb7d4302a805604189374b -64 0 0,true,true,true,[0.993 +/- 3.96e-4],7f139355 -1f 17aee401 -29,0.992965585552611,[+/- 8.73e-4],1c98c6b5 -28 1c98c6b5 -28,0.000872704529683688,[0.92 +/- 1.53e-3],75b8c05 -1b 2808c40d -27,[0.941125013458076864480972290039 +/- 6.25e-32],3c3b64689 -22 0 0,0.941125013458077,0.455604987,24.792661008,4.747514129,81.857184872,33,8,0.571643008,100
[-0.93495 +/- 6.26e-6],-77ac9320f279596c8b439581 -5f 92ccf6d -2e,[0.967477031272641416537183545188 +/- 4.31e-31],f7ac9320f279596c8b439581 -60 0 0,true,true,true,[0.993 +/- 4.02e-4],7f136499 -1f 17ae1c01 -29,0.992959991097905,[+/- 8.51e-4],df09d8d -27 df09d8d -27,0.000850824220833602,[0.92 +/- 1.53e-3],3adc6975 -1e 282dea0d -27,[0.941867914138128980994224548340 +/- 1.57e-31],788f20b83 -23 0 0,0.941867914138129,0.653342832,33.48050848,5.336408125,82.224238311,47,8,0.538473623,100
[-0.93495 +/- 2.50e-6],-ef58dcdb6990650624dd2f1a9 -64 92ccf6d -2e,[0.967474843772635741290244482115 +/- 1.15e-31],3deb1b9b6d320ca0c49ba5e35 -62 0 0,true,true,true,[0.993 +/- 3.89e-4],7f13ce79 -1f 17ad7401 -29,0.992972592823663,[+/- 8.93e-4],3a7960af -29 3a7960af -29,0.000892244438546186,[0.92 +/- 1.53e-3],3adc3d0d -1e 280cea0d -27,[0.940469344815937802195549011230 +/- 4.69e-31],78614cab7 -23 0 0,0.940469344815938,0.544509817,27.274575642,4.940850719,84.02236357,40,8,0.640885962,100
[-0.93495 +/- 6.88e-6],-77ac49ba77170b99999999999 -63 92ccf6d -2e,[0.967472656272630066043305419043 +/- 1.02e-32],f7ac49ba77170b99999999999 -64 0 0,true,true,true,[0.993 +/- 4.10e-4],7f131df1 -1f 17ac9401 -29,0.992951522581734,[+/- 8.60e-4],385b13bb -29 385b13bb -29,0.0008599208040323,[0.92 +/- 1.53e-3],1d6e3b93 -1d 2845240d -27,[0.941558230173541232943534851074 +/- 2.19e-31],7884fae6f -23 0 0,0.941558230173542,0.514453795,25.175565706,4.873601555,82.970388179,37,8,0.465450243,100
[-0.93494 +/- 3.13e-6],-3bd612839cb2f25810624dd2f -62 24b33db3 -30,[0.967470468772624390796366355971 +/- 9.46e-32],7bd612839cb2f25810624dd2f -63 0 0,true,true,true,[0.993 +/- 4.01e-4],7f136de3 -1f 17abc401 -29,0.992961028591254,[+/- 8.64e-4],38924add -29 38924add -29,0.000863211896103167,[0.92 +/- 1.53e-3],75b8a5fb -1f 2809630d -27,[0.941446222452213987708091735840 +/- 1.57e-31],78814f503 -23 0 0,0.941446222452214,0.398728807,29.692284142,5.021924128,81.420551578,42,8,0.534126566,100
